match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,result
KO-PO 1,Chelsea,96.0,London,ENG,Barcelona,78.0,Barcelona,ESP,Chelsea
KO-PO 2,Bayern,126.0,Munich,GER,Manchester United,91.0,Manchester,ENG,Manchester United
KO-PO 3,Real Madrid,112.0,Madrid,ESP,Inter,90.0,Milan,ITA,Inter
KO-PO 4,Fenerbahçe,28.0,Istanbul,TUR,Ajax,64.0,Amsterdam,NED,Ajax
KO-PO 5,Celtic,30.0,Glasgow,SCO,Real Sociedad,42.0,San Sebastián,ESP,Real Sociedad
KO-PO 6,Benfica,69.0,Lisbon,POR,Borussia Dortmund,75.0,Dortmund,GER,Borussia Dortmund
KO-PO 7,Feyenoord,57.0,Rotterdam,NED,Lyon,44.0,Lyon,FRA,Lyon
KO-PO 8,Manchester City,130.0,Manchester,ENG,Atalanta,58.0,Bergamo,ITA,Manchester City
R16-M1,AC Milan,49.0,Milan,ITA,Chelsea,96.0,London,ENG,AC Milan
R16-M2,Paris Saint-Germain,101.0,Paris,FRA,Manchester United,91.0,Manchester,ENG,Manchester United
R16-M3,Villarreal,68.0,Villarreal,ESP,Inter,90.0,Milan,ITA,Inter
R16-M4,Antwerp,21.0,Antwerp,BEL,Ajax,64.0,Amsterdam,NED,Ajax
R16-M5,Young Boys,32.5,Bern,SUI,Real Sociedad,42.0,San Sebastián,ESP,Real Sociedad
R16-M6,Roma,86.0,Rome,ITA,Borussia Dortmund,75.0,Dortmund,GER,Roma
R16-M7,AZ Alkmaar,48.0,Alkmaar,NED,Lyon,44.0,Lyon,FRA,Lyon
R16-M8,Liverpool,100.0,Liverpool,ENG,Manchester City,130.0,Manchester,ENG,Liverpool
QF-1,AC Milan,49.0,Milan,ITA,Manchester United,91.0,Manchester,ENG,AC Milan
QF-2,Inter,90.0,Milan,ITA,Ajax,64.0,Amsterdam,NED,Inter
QF-3,Real Sociedad,42.0,San Sebastián,ESP,Roma,86.0,Rome,ITA,Real Sociedad
QF-4,Lyon,44.0,Lyon,FRA,Liverpool,100.0,Liverpool,ENG,Lyon
SF-1,AC Milan,49.0,Milan,ITA,Inter,90.0,Milan,ITA,AC Milan
SF-2,Real Sociedad,42.0,San Sebastián,ESP,Lyon,44.0,Lyon,FRA,Lyon
Final,AC Milan,49.0,Milan,ITA,Lyon,44.0,Lyon,FRA,Lyon
