home_team,home_team_city,away_team,away_team_city,double_legged_status
Barcelona,Barcelona,RB Leipzig,Leipzig,
Barcelona,Barcelona,Napoli,Naples,
Barcelona,Barcelona,Qarabağ,Baku,
Manchester City,Manchester,Barcelona,Barcelona,
Manchester City,Manchester,Real Sociedad,San Sebastián,
Manchester City,Manchester,Crvena zvezda,Belgrade,
Bayern,Munich,Chelsea,London,
Bayern,Munich,Atalanta,Bergamo,
Bayern,Munich,Lens,Lens,
Paris Saint-Germain,Paris,Manchester United,Manchester,
Paris Saint-Germain,Paris,Ajax,Amsterdam,
Paris Saint-Germain,Paris,LASK,Linz,
Liverpool,Liverpool,Atlético de Madrid,Madrid,
Liverpool,Liverpool,Copenhagen,Copenhagen,
Liverpool,Liverpool,Real Betis,Seville,
Chelsea,London,Roma,Rome,
Chelsea,London,Braga,Braga,
Chelsea,London,SC Freiburg,Freiburg,
Manchester United,Manchester,Sevilla,Seville,
Manchester United,Manchester,Feyenoord,Rotterdam,
Manchester United,Manchester,Lille,Lille,
Inter,Milan,Liverpool,Liverpool,
Inter,Milan,Slavia Praha,Prague,
Inter,Milan,Rennes,Rennes,
RB Leipzig,Leipzig,Inter,Milan,
RB Leipzig,Leipzig,Lyon,Lyon,
RB Leipzig,Leipzig,Young Boys,Bern,
Roma,Rome,Manchester City,Manchester,
Roma,Rome,Rangers,Glasgow,
Roma,Rome,Bodø/Glimt,Bodø,
Sevilla,Seville,Paris Saint-Germain,Paris,
Sevilla,Seville,West Ham,London,
Sevilla,Seville,Union SG,Brussels,
Atlético de Madrid,Madrid,Bayern,Munich,
Atlético de Madrid,Madrid,AZ Alkmaar,Alkmaar,
Atlético de Madrid,Madrid,VfL Wolfsburg,Wolfsburg,
Napoli,Naples,Paris Saint-Germain,Paris,
Napoli,Naples,Ajax,Amsterdam,
Napoli,Naples,Lille,Lille,
Ajax,Amsterdam,Chelsea,London,
Ajax,Amsterdam,Atalanta,Bergamo,
Ajax,Amsterdam,LASK,Linz,
Atalanta,Bergamo,Barcelona,Barcelona,
Atalanta,Bergamo,Braga,Braga,
Atalanta,Bergamo,Rennes,Rennes,
Feyenoord,Rotterdam,RB Leipzig,Leipzig,
