match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association
1,Manchester City,130.0,Manchester,ENG,Villarreal,68.0,Villarreal,ESP
2,Manchester City,130.0,Manchester,ENG,Lazio,43.0,Rome,ITA
3,Manchester City,130.0,Manchester,ENG,Union Berlin,21.0,Berlin,GER
4,Bayern,126.0,Munich,GER,Atlético de Madrid,73.0,Madrid,ESP
5,Bayern,126.0,Munich,GER,Ajax,64.0,Amsterdam,NED
6,Bayern,126.0,Munich,GER,Young Boys,32.5,Bern,SUI
7,Real Madrid,112.0,Madrid,ESP,Benfica,69.0,Lisbon,POR
8,Real Madrid,112.0,Madrid,ESP,Lille,35.0,Lille,FRA
9,Real Madrid,112.0,Madrid,ESP,Fenerbahçe,28.0,Istanbul,TUR
10,Paris Saint-Germain,101.0,Paris,FRA,Juventus,80.0,Turin,ITA
11,Paris Saint-Germain,101.0,Paris,FRA,Crvena zvezda,40.0,Belgrade,SRB
12,Paris Saint-Germain,101.0,Paris,FRA,Flora Tallinn,11.0,Tallinn,EST
13,Liverpool,100.0,Liverpool,ENG,Bayern,126.0,Munich,GER
14,Liverpool,100.0,Liverpool,ENG,Marseille,34.0,Marseille,FRA
15,Liverpool,100.0,Liverpool,ENG,Ferencváros,30.0,Budapest,HUN
16,Chelsea,96.0,London,ENG,Barcelona,78.0,Barcelona,ESP
17,Chelsea,96.0,London,ENG,Salzburg,49.0,Salzburg,AUT
18,Chelsea,96.0,London,ENG,Fiorentina,24.0,Florence,ITA
19,Inter,90.0,Milan,ITA,Real Madrid,112.0,Madrid,ESP
20,Inter,90.0,Milan,ITA,Feyenoord,57.0,Rotterdam,NED
21,Inter,90.0,Milan,ITA,Real Betis,31.0,Seville,ESP
22,Juventus,80.0,Turin,ITA,Chelsea,96.0,London,ENG
23,Juventus,80.0,Turin,ITA,Arsenal,58.0,London,ENG
24,Juventus,80.0,Turin,ITA,Union SG,22.0,Brussels,BEL
25,Barcelona,78.0,Barcelona,ESP,Liverpool,100.0,Liverpool,ENG
26,Barcelona,78.0,Barcelona,ESP,Tottenham Hotspur,54.0,London,ENG
27,Barcelona,78.0,Barcelona,ESP,LASK,34.0,Linz,AUT
28,Atlético de Madrid,73.0,Madrid,ESP,Inter,90.0,Milan,ITA
29,Atlético de Madrid,73.0,Madrid,ESP,Bayer 04 Leverkusen,67.0,Leverkusen,GER
