rank,team_name,association,uefa_coefficient,city,points,wins,draws,losses
1,Liverpool,ENG,100.0,Liverpool,18,6,0,0
2,AC Milan,ITA,49.0,Milan,15,5,0,1
3,Antwerp,BEL,21.0,Antwerp,15,5,0,1
4,Young Boys,SUI,32.5,Bern,14,4,2,0
5,Roma,ITA,86.0,Rome,13,4,1,1
6,Villarreal,ESP,68.0,Villarreal,13,4,1,1
7,AZ Alkmaar,NED,48.0,Alkmaar,13,4,1,1
8,Paris Saint-Germain,FRA,101.0,Paris,12,4,0,2
9,Feyenoord,NED,57.0,Rotterdam,12,3,3,0
10,Bayern,GER,126.0,Munich,10,3,1,2
11,Real Madrid,ESP,112.0,Madrid,10,3,1,2
12,Benfica,POR,69.0,Lisbon,10,2,4,0
13,Celtic,SCO,30.0,Glasgow,10,3,1,2
14,Fenerbahçe,TUR,28.0,Istanbul,10,3,1,2
15,Manchester City,ENG,130.0,Manchester,9,3,0,3
16,Chelsea,ENG,96.0,London,9,2,3,1
17,Atalanta,ITA,58.0,Bergamo,9,2,3,1
18,Barcelona,ESP,78.0,Barcelona,8,2,2,2
19,Ajax,NED,64.0,Amsterdam,8,2,2,2
20,Real Sociedad,ESP,42.0,San Sebastián,8,2,2,2
21,Inter,ITA,90.0,Milan,7,2,1,3
22,Borussia Dortmund,GER,75.0,Dortmund,7,2,1,3
23,Lyon,FRA,44.0,Lyon,7,2,1,3
24,Manchester United,ENG,91.0,Manchester,6,2,0,4
25,Bayer 04 Leverkusen,GER,67.0,Leverkusen,6,2,0,4
26,Lille,FRA,35.0,Lille,6,1,3,2
27,Qarabağ,AZE,26.0,Baku,6,2,0,4
28,APOEL,CYP,14.5,Nicosia,6,2,0,4
29,Rapid Wien,AUT,14.0,Vienna,6,1,3,2
30,VfL Wolfsburg,GER,22.5,Wolfsburg,4,1,1,4
31,Aston Villa,ENG,18.635,Birmingham,4,1,1,4
32,Atlético de Madrid,ESP,73.0,Madrid,3,1,0,5
33,Legia Warszawa,POL,13.0,Warsaw,3,0,3,3
34,Crvena zvezda,SRB,40.0,Belgrade,2,0,2,4
35,Braga,POR,48.0,Braga,1,0,1,5
36,Lens,FRA,11.266,Lens,1,0,1,5
