team_name,association,uefa_coefficient,city,pot
Barcelona,ESP,78.0,Barcelona,1
Manchester City,ENG,130.0,Manchester,1
Bayern,GER,126.0,Munich,1
Real Madrid,ESP,112.0,Madrid,1
Paris Saint-Germain,FRA,101.0,Paris,1
Liverpool,ENG,100.0,Liverpool,1
Chelsea,ENG,96.0,London,1
Manchester United,ENG,91.0,Manchester,1
Inter,ITA,90.0,Milan,1
Roma,ITA,86.0,Rome,1
Borussia Dortmund,GER,75.0,Dortmund,1
Atlético de Madrid,ESP,73.0,Madrid,1
Benfica,POR,69.0,Lisbon,2
Villarreal,ESP,68.0,Villarreal,2
Bayer 04 Leverkusen,GER,67.0,Leverkusen,2
Ajax,NED,64.0,Amsterdam,2
Atalanta,ITA,58.0,Bergamo,2
Feyenoord,NED,57.0,Rotterdam,2
AC Milan,ITA,49.0,Milan,2
AZ Alkmaar,NED,48.0,Alkmaar,2
Braga,POR,48.0,Braga,2
Lyon,FRA,44.0,Lyon,2
Real Sociedad,ESP,42.0,San Sebastián,2
Crvena zvezda,SRB,40.0,Belgrade,2
Lille,FRA,35.0,Lille,3
Young Boys,SUI,32.5,Bern,3
Celtic,SCO,30.0,Glasgow,3
Fenerbahçe,TUR,28.0,Istanbul,3
Qarabağ,AZE,26.0,Baku,3
VfL Wolfsburg,GER,22.5,Wolfsburg,3
Antwerp,BEL,21.0,Antwerp,3
Aston Villa,ENG,18.635,Birmingham,3
APOEL,CYP,14.5,Nicosia,3
Rapid Wien,AUT,14.0,Vienna,3
Legia Warszawa,POL,13.0,Warsaw,3
Lens,FRA,11.266,Lens,3
