year,group,team
1,A,Manchester City
1,A,Paris Saint-Germain
1,A,RB Leipzig
1,A,Club Brugge
1,B,Liverpool
1,B,Atlético de Madrid
1,B,FC Porto
1,B,AC Milan
1,C,Ajax
1,C,Sporting CP
1,C,Borussia Dortmund
1,C,Beşiktaş
1,D,Real Madrid
1,D,Inter
1,D,Sheriff
1,D,Shakhtar Donetsk (2021/22)
1,E,Bayern
1,E,Benfica
1,E,Barcelona
1,E,Dynamo Kyiv
1,F,Manchester United
1,F,Villarreal
1,F,Atalanta
1,F,Young Boys
1,G,Lille
1,G,Salzburg
1,G,Sevilla
1,G,VfL Wolfsburg
1,H,Juventus
1,H,Chelsea
1,H,Zenit
1,H,Malmö FF
2,A,Napoli
2,A,Liverpool
2,A,Ajax
2,A,Rangers
2,B,FC Porto
2,B,Club Brugge
2,B,Bayer 04 Leverkusen
2,B,Atlético de Madrid
2,C,Bayern
2,C,Inter
2,C,Barcelona
2,C,Viktoria Plzeň
2,D,Tottenham Hotspur
2,D,Eintracht Frankfurt
2,D,Sporting CP
2,D,Marseille
2,E,Chelsea
2,E,AC Milan
2,E,Salzburg
2,E,Dinamo Zagreb
2,F,Real Madrid
2,F,RB Leipzig
2,F,Shakhtar Donetsk (2022/23)
2,F,Celtic
2,G,Manchester City
2,G,Borussia Dortmund
2,G,Sevilla
2,G,Copenhagen
2,H,Benfica
2,H,Paris Saint-Germain
2,H,Juventus
2,H,Maccabi Haifa
3,A,Bayern
3,A,Copenhagen
3,A,Galatasaray
3,A,Manchester United
3,B,Arsenal
3,B,PSV
3,B,Lens
3,B,Sevilla
3,C,Real Madrid
3,C,Napoli
3,C,Braga
3,C,Union Berlin
3,D,Real Sociedad
3,D,Inter
3,D,Benfica
3,D,Salzburg
3,E,Atlético de Madrid
3,E,Lazio
3,E,Feyenoord
3,E,Celtic
3,F,Borussia Dortmund
3,F,Paris Saint-Germain
3,F,AC Milan
3,F,Newcastle
3,G,Manchester City
3,G,RB Leipzig
3,G,Young Boys
3,G,Crvena zvezda
3,H,Barcelona
3,H,FC Porto
3,H,Shakhtar Donetsk (2023/24)
3,H,Antwerp
