team,game_1,game_2,game_3,game_4,game_5,game_6,average_distance_travelled_per_away_game,total_distance_travelled
Napoli,1902,1464,2144,0,0,0,1837,5510
Liverpool,1902,543,284,0,0,0,910,2729
Ajax,1464,543,711,0,0,0,906,2718
Rangers,2144,284,711,0,0,0,1046,3139
FC Porto,1439,1626,421,0,0,0,1162,3486
Club Brugge,1439,264,1313,0,0,0,1005,3016
Bayer 04 Leverkusen,1626,264,1443,0,0,0,1111,3333
Atlético de Madrid,421,1313,1443,0,0,0,1059,3177
Bayern,348,1055,209,0,0,0,537,1612
Inter,348,725,557,0,0,0,543,1630
Barcelona,1055,725,1255,0,0,0,1012,3035
Viktoria Plzeň,209,557,1255,0,0,0,674,2021
Tottenham Hotspur,638,1585,1002,0,0,0,1075,3225
Eintracht Frankfurt,638,1890,799,0,0,0,1109,3327
Sporting CP,1585,1890,1317,0,0,0,1597,4792
Marseille,1002,799,1317,0,0,0,1039,3118
Chelsea,959,1032,1338,0,0,0,1110,3329
AC Milan,959,393,529,0,0,0,627,1881
Salzburg,1032,393,315,0,0,0,580,1740
Dinamo Zagreb,1338,529,315,0,0,0,727,2182
Real Madrid,1733,2290,1718,0,0,0,1914,5741
RB Leipzig,1733,601,1203,0,0,0,1179,3537
Shakhtar Donetsk (2022/23),2290,601,1688,0,0,0,1526,4579
Celtic,1718,1203,1688,0,0,0,1536,4609
Manchester City,692,1812,983,0,0,0,1162,3487
Borussia Dortmund,692,1893,572,0,0,0,1052,3157
Sevilla,1812,1893,2463,0,0,0,2056,6168
Copenhagen,983,572,2463,0,0,0,1339,4018
Benfica,1453,1557,3997,0,0,0,2336,7007
Paris Saint-Germain,1453,584,3237,0,0,0,1758,5274
Juventus,1557,584,2708,0,0,0,1616,4849
Maccabi Haifa,3997,3237,2708,0,0,0,3314,9942
