team_name,association,uefa_coefficient,city
Raków Częstochowa,POL,5.0,Częstochowa
Legia Warszawa,POL,11.0,Warsaw
Lech Poznań,POL,20.5,Poznań
IF Elfsborg,SWE,4.3,Borås
Malmö FF,SWE,18.5,Malmö
BK Häcken,SWE,4.3,Gothenburg
APOEL,CYP,14.5,Nicosia
AEK Larnaca,CYP,8.0,Larnaca
Aris Limassol,CYP,4.37,Limassol
Maccabi Haifa,ISR,14.0,Haifa
H. Beer Sheva,ISR,17.0,Beer Sheva
Maccabi Haifa,ISR,14.0,Haifa
Panathinaikos,GRE,5.065,Athens
AEK Athens,GRE,10.0,Athens
Olympiacos,GRE,32.0,Piraeus
Rijeka,CRO,12.0,Rijeka
Copenhagen,DEN,41.5,Copenhagen
Nordsjælland,DEN,5.54,Farum
AGF,DEN,5.54,Aarhus
Bodø/Glimt,NOR,22.5,Bodø
Sparta Praha,CZE,14.5,Prague
Slavia Praha,CZE,42.0,Prague
Viktoria Plzeň,CZE,15.0,Plzeň
