team_name,association,uefa_coefficient,city
CFR Cluj,ROM,26.500,Cluj-Napoca
Maribor,SVN,9.500,Maribor
Astana,KAZ,8.000,Nur-Sultan
Sheriff Tiraspol,MDA,17.000,Tiraspol
Pyunik,ARM,9.500,Yerevan
Inter Club d'Escaldes,AND,6.000,Andorra la Vella
HJK,FIN,10.000,Helsinki
Dinamo Tbilisi,GEO,8.000,Tbilisi
Borac,BIH,5.500,Banja Luka
Qarabağ,AZE,26.000,Aghdam
BATE Borisov,BLR,9.500,Borisov
Riga,LAT,11.00,Riga
F91 Dudelange,LUX,8.500,Dudelange
Linfield,NIR,10.000,Belfast
St Patrick's Athletic,IRL,4.000,Dublin
