team_name,association,uefa_coefficient,city
Tre Penne,SMR,5.500,San Marino
SS Cosmos,SMR,1.000,Serravalle
La Fiorita,SMR,4.500,Montegiardino
Budućnost,MNE,8.000,Podgorica
Sutjeska,MNE,7.500,Nikšić
Arsenal Tivat,MNE,1.000,Tivat
Atlètic Club d'Escaldes,AND,2.500,Andorra la Vella
Inter Club d'Escaldes,AND,6.000,Andorra la Vella
FC Santa Coloma,AND,5.500,Santa Coloma
Struga,MKD,3.500,Struga
Shkupi,MKD,7.500,Skopje
Shkëndija,MKD,8.000,Tetovo
Lincoln Red Imps,GIB,9.000,Gibraltar
Europa,GIB,5.500,Gibraltar
Bruno's Magpies,GIB,2.000,Gibraltar
The New Saints,WAL,8.500,Oswestry
Connah's Quay Nomads,WAL,5.500,Connah's Quay
Penybont,WAL,1.000,Bridgend
Partizani,ALB,6.500,Tirana
Tirana,ALB,5.500,Tirana
Egnatia,ALB,1.000,Rrogozhinë
Víkingur Reykjavík,ISL,4.000,Reykjavík
Flora,EST,11.000,Tallinn
FCI Levadia,EST,6.000,Tallinn
Dinamo Tbilisi,GEO,8.000,Tbilisi
Dinamo Batumi,GEO,5.500,Batumi
Dila Gori,GEO,4.000,Gori
Ħamrun Spartans,MLT,4.500,Ħamrun
Birkirkara,MLT,2.500,Birkirkara
Gżira United,MLT,7.000,Gżira
Larne,NIR,4.500,Larne
Linfield,NIR,10.000,Belfast
Glentoran,NIR,3.000,Belfast
KÍ,FRO,8.000,Klaksvík
Swift Hesperange,LUX,3.000,Hesperange
Progrès Niederkorn,LUX,4.500,Niederkorn
F91 Dudelange,LUX,8.500,Dudelange
Zrinjski,BIH,8.500,Mostar
Borac,BIH,5.500,Banja Luka
Željezničar,BIH,2.500,Sarajevo
BATE Borisov,BLR,9.500,Borisov
Dinamo Minsk,BLR,4.500,Minsk
Torpedo Zhodino,BLR,3.000,Zhodino
Urartu,ARM,3.500,Yerevan
Pyunik,ARM,9.500,Yerevan
Ararat-Armenia,ARM,8.000,Yerevan
Panevėžys,LTU,4.000,Panevėžys
Žalgiris,LTU,11.500,Vilnius
HJK,FIN,10.000,Helsinki
KuPS,FIN,10.000,Kuopio
Shamrock Rovers,IRL,9.500,Dublin
Derry City,IRL,4.000,Derry
St Patrick's Athletic,IRL,4.000,Dublin
Riga,LAT,11.00,Riga
RFS,LAT,8.000,Riga
Ballkani,KOS,7.500,Prishtina
Drita,KOS,6.500,Gjilan
Gjilani,KOS,3.000,Gjilan
Sheriff Tiraspol,MDA,17.000,Tiraspol
Petrocub Hîncești,MDA,7.000,Hîncești
Milsami Orhei,MDA,5.000,Orhei
Olimpija Ljubljana,SVN,6.500,Ljubljana
Celje,SVN,4.500,Celje
Maribor,SVN,9.500,Maribor
Ordabasy,KAZ,4.000,Shymkent
Astana,KAZ,8.000,Nur-Sultan
Qarabağ,AZE,26.000,Aghdam
Sabah,AZE,2.000,Baku
Neftçi,AZE,10.000,Baku
Slovan Bratislava,SVK,26.500,Bratislava
Spartak Trnava,SVK,5.500,Trnava
DAC Dunajská Streda,SVK,8.000,Dunajská Streda
Ludogorets Razgrad,BUL,19.000,Razgrad
CSKA Sofia,BUL,12.500,Sofia
CSKA 1948 Sofia,BUL,1.500,Sofia
Farul Constanța,ROM,4.000,Constanța
FCSB,ROM,10.500,Bucharest
CFR Cluj,ROM,26.500,Cluj-Napoca
Ferencváros,HUN,29.000,Budapest
Kecskemét,HUN,1.500,Kecskemét
Debrecen,HUN,3.500,Debrecen
