replicate,match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,distance
1,1,Inter,90.0,Milan,ITA,Young Boys,32.5,Bern,SUI,213.0
1,2,Inter,90.0,Milan,ITA,Bayern,126.0,Munich,GER,348.0
1,3,Inter,90.0,Milan,ITA,Marseille,34.0,Marseille,FRA,388.0
1,4,Inter,90.0,Milan,ITA,Eintracht Frankfurt,57.0,Frankfurt,GER,518.0
1,5,Manchester City,130.0,Manchester,ENG,Linfield,10.0,Belfast,NIR,271.0
1,6,Manchester City,130.0,Manchester,ENG,Rangers,52.0,Glasgow,SCO,294.0
1,7,Manchester City,130.0,Manchester,ENG,Feyenoord,57.0,Rotterdam,NED,485.0
1,8,Manchester City,130.0,Manchester,ENG,Inter,90.0,Milan,ITA,1212.0
1,9,Bayern,126.0,Munich,GER,LASK,34.0,Linz,AUT,201.0
1,10,Bayern,126.0,Munich,GER,Juventus,80.0,Turin,ITA,452.0
1,11,Bayern,126.0,Munich,GER,Fiorentina,24.0,Florence,ITA,486.0
1,12,Bayern,126.0,Munich,GER,Chelsea,96.0,London,ENG,919.0
1,13,Real Madrid,112.0,Madrid,ESP,Braga,48.0,Braga,POR,417.0
1,14,Real Madrid,112.0,Madrid,ESP,Lens,11.266,Lens,FRA,1223.0
1,15,Real Madrid,112.0,Madrid,ESP,Arsenal,58.0,London,ENG,1263.0
1,16,Real Madrid,112.0,Madrid,ESP,Liverpool,100.0,Liverpool,ENG,1446.0
1,17,Liverpool,100.0,Liverpool,ENG,Aberdeen,7.5,Aberdeen,SCO,420.0
1,18,Liverpool,100.0,Liverpool,ENG,AZ Alkmaar,48.0,Alkmaar,NED,526.0
1,19,Liverpool,100.0,Liverpool,ENG,Bayer 04 Leverkusen,67.0,Leverkusen,GER,729.0
1,20,Liverpool,100.0,Liverpool,ENG,Roma,86.0,Rome,ITA,1720.0
1,21,Chelsea,96.0,London,ENG,PSV,43.0,Eindhoven,NED,388.0
1,22,Chelsea,96.0,London,ENG,Genk,13.0,Genk,BEL,398.0
1,23,Chelsea,96.0,London,ENG,Borussia Dortmund,75.0,Dortmund,GER,525.0
1,24,Chelsea,96.0,London,ENG,Real Madrid,112.0,Madrid,ESP,1263.0
1,25,Manchester United,91.0,Manchester,ENG,Rennes,37.0,Rennes,FRA,598.0
1,26,Manchester United,91.0,Manchester,ENG,Barcelona,78.0,Barcelona,ESP,1385.0
1,27,Manchester United,91.0,Manchester,ENG,Bodø/Glimt,24.5,Bodø,NOR,1773.0
1,28,Manchester United,91.0,Manchester,ENG,Sevilla,84.0,Seville,ESP,1812.0
1,29,Roma,86.0,Rome,ITA,Crvena zvezda,40.0,Belgrade,SRB,718.0
