replicate,match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,distance
1,1,Inter,90.0,Milan,ITA,Liverpool,100.0,Liverpool,ENG,1245.0
1,2,Inter,90.0,Milan,ITA,Bayer 04 Leverkusen,67.0,Leverkusen,GER,643.0
1,3,Inter,90.0,Milan,ITA,Lens,11.266,Lens,FRA,727.0
1,4,Inter,90.0,Milan,ITA,PSV,43.0,Eindhoven,NED,719.0
1,5,Manchester City,130.0,Manchester,ENG,Crvena zvezda,40.0,Belgrade,SRB,1901.0
1,6,Manchester City,130.0,Manchester,ENG,Real Betis,31.0,Seville,ESP,1812.0
1,7,Manchester City,130.0,Manchester,ENG,Borussia Dortmund,75.0,Dortmund,GER,692.0
1,8,Manchester City,130.0,Manchester,ENG,Sevilla,84.0,Seville,ESP,1812.0
1,9,Bayern,126.0,Munich,GER,Marseille,34.0,Marseille,FRA,722.0
1,10,Bayern,126.0,Munich,GER,Chelsea,96.0,London,ENG,919.0
1,11,Bayern,126.0,Munich,GER,Villarreal,68.0,Villarreal,ESP,1300.0
1,12,Bayern,126.0,Munich,GER,Young Boys,32.5,Bern,SUI,337.0
1,13,Real Madrid,112.0,Madrid,ESP,Slavia Praha,42.0,Prague,CZE,1773.0
1,14,Real Madrid,112.0,Madrid,ESP,Napoli,71.0,Naples,ITA,1515.0
1,15,Real Madrid,112.0,Madrid,ESP,Manchester United,91.0,Manchester,ENG,1457.0
1,16,Real Madrid,112.0,Madrid,ESP,Fiorentina,24.0,Florence,ITA,1287.0
1,17,Liverpool,100.0,Liverpool,ENG,AZ Alkmaar,48.0,Alkmaar,NED,526.0
1,18,Liverpool,100.0,Liverpool,ENG,Roma,86.0,Rome,ITA,1720.0
1,19,Liverpool,100.0,Liverpool,ENG,Qarabağ,26.0,Baku,AZE,4162.0
1,20,Liverpool,100.0,Liverpool,ENG,Barcelona,78.0,Barcelona,ESP,1392.0
1,21,Chelsea,96.0,London,ENG,Eintracht Frankfurt,57.0,Frankfurt,GER,638.0
1,22,Chelsea,96.0,London,ENG,LASK,34.0,Linz,AUT,1089.0
1,23,Chelsea,96.0,London,ENG,Bodø/Glimt,24.5,Bodø,NOR,1926.0
1,24,Chelsea,96.0,London,ENG,Real Madrid,112.0,Madrid,ESP,1263.0
1,25,Manchester United,91.0,Manchester,ENG,Inter,90.0,Milan,ITA,1212.0
1,26,Manchester United,91.0,Manchester,ENG,Aberdeen,7.5,Aberdeen,SCO,408.0
1,27,Manchester United,91.0,Manchester,ENG,Rangers,52.0,Glasgow,SCO,294.0
1,28,Manchester United,91.0,Manchester,ENG,Feyenoord,57.0,Rotterdam,NED,485.0
1,29,Roma,86.0,Rome,ITA,Genk,13.0,Genk,BEL,1140.0
1,30,Roma,86.0,Rome,ITA,Manchester City,130.0,Manchester,ENG,1689.0
1,31,Roma,86.0,Rome,ITA,Arsenal,58.0,London,ENG,1434.0
1,32,Roma,86.0,Rome,ITA,Braga,48.0,Braga,POR,1734.0
1,33,Sevilla,84.0,Seville,ESP,Bayern,126.0,Munich,GER,1859.0
1,34,Sevilla,84.0,Seville,ESP,Rennes,37.0,Rennes,FRA,1243.0
1,35,Sevilla,84.0,Seville,ESP,Linfield,10.0,Belfast,NIR,1913.0
1,36,Sevilla,84.0,Seville,ESP,Juventus,80.0,Turin,ITA,1424.0
1,37,Juventus,80.0,Turin,ITA,Real Madrid,112.0,Madrid,ESP,1063.0
1,38,Juventus,80.0,Turin,ITA,Crvena zvezda,40.0,Belgrade,SRB,1004.0
1,39,Juventus,80.0,Turin,ITA,Feyenoord,57.0,Rotterdam,NED,798.0
1,40,Juventus,80.0,Turin,ITA,Genk,13.0,Genk,BEL,675.0
1,41,Barcelona,78.0,Barcelona,ESP,Rennes,37.0,Rennes,FRA,808.0
1,42,Barcelona,78.0,Barcelona,ESP,Manchester City,130.0,Manchester,ENG,1385.0
1,43,Barcelona,78.0,Barcelona,ESP,Fiorentina,24.0,Florence,ITA,789.0
1,44,Barcelona,78.0,Barcelona,ESP,Juventus,80.0,Turin,ITA,606.0
1,45,Borussia Dortmund,75.0,Dortmund,GER,Napoli,71.0,Naples,ITA,1295.0
1,46,Borussia Dortmund,75.0,Dortmund,GER,LASK,34.0,Linz,AUT,604.0
1,47,Borussia Dortmund,75.0,Dortmund,GER,Inter,90.0,Milan,ITA,684.0
1,48,Borussia Dortmund,75.0,Dortmund,GER,Real Betis,31.0,Seville,ESP,1893.0
1,49,Napoli,71.0,Naples,ITA,Braga,48.0,Braga,POR,1896.0
1,50,Napoli,71.0,Naples,ITA,Chelsea,96.0,London,ENG,1617.0
1,51,Napoli,71.0,Naples,ITA,Aberdeen,7.5,Aberdeen,SCO,2158.0
1,52,Napoli,71.0,Naples,ITA,Bayer 04 Leverkusen,67.0,Leverkusen,GER,1265.0
1,53,Villarreal,68.0,Villarreal,ESP,Marseille,34.0,Marseille,FRA,586.0
1,54,Villarreal,68.0,Villarreal,ESP,Qarabağ,26.0,Baku,AZE,4189.0
1,55,Villarreal,68.0,Villarreal,ESP,Liverpool,100.0,Liverpool,ENG,1510.0
1,56,Villarreal,68.0,Villarreal,ESP,Borussia Dortmund,75.0,Dortmund,GER,1410.0
1,57,Bayer 04 Leverkusen,67.0,Leverkusen,GER,Sevilla,84.0,Seville,ESP,1833.0
1,58,Bayer 04 Leverkusen,67.0,Leverkusen,GER,AZ Alkmaar,48.0,Alkmaar,NED,233.0
1,59,Bayer 04 Leverkusen,67.0,Leverkusen,GER,Barcelona,78.0,Barcelona,ESP,1137.0
1,60,Bayer 04 Leverkusen,67.0,Leverkusen,GER,Young Boys,32.5,Bern,SUI,458.0
1,61,Arsenal,58.0,London,ENG,Linfield,10.0,Belfast,NIR,518.0
1,62,Arsenal,58.0,London,ENG,Rangers,52.0,Glasgow,SCO,555.0
1,63,Arsenal,58.0,London,ENG,Villarreal,68.0,Villarreal,ESP,1283.0
1,64,Arsenal,58.0,London,ENG,Bayern,126.0,Munich,GER,919.0
1,65,Eintracht Frankfurt,57.0,Frankfurt,GER,Manchester United,91.0,Manchester,ENG,838.0
1,66,Eintracht Frankfurt,57.0,Frankfurt,GER,PSV,43.0,Eindhoven,NED,270.0
1,67,Eintracht Frankfurt,57.0,Frankfurt,GER,Bodø/Glimt,24.5,Bodø,NOR,1935.0
1,68,Eintracht Frankfurt,57.0,Frankfurt,GER,Arsenal,58.0,London,ENG,638.0
1,69,Feyenoord,57.0,Rotterdam,NED,Lens,11.266,Lens,FRA,202.0
1,70,Feyenoord,57.0,Rotterdam,NED,Slavia Praha,42.0,Prague,CZE,726.0
1,71,Feyenoord,57.0,Rotterdam,NED,Eintracht Frankfurt,57.0,Frankfurt,GER,356.0
