home_team,home_team_city,away_team,away_team_city,double_legged_status
Inter,Milan,Barcelona,Barcelona,
Inter,Milan,Benfica,Lisbon,
Inter,Milan,Club Brugge,Bruges,
Inter,Milan,Union Berlin,Berlin,
Bayern,Munich,Liverpool,Liverpool,
Bayern,Munich,Arsenal,London,
Bayern,Munich,Real Sociedad,San Sebastián,
Bayern,Munich,Rennes,Rennes,
Real Madrid,Madrid,Bayern,Munich,
Real Madrid,Madrid,Ajax,Amsterdam,
Real Madrid,Madrid,Lyon,Lyon,
Real Madrid,Madrid,Olympiacos,Piraeus,
Paris Saint-Germain,Paris,Sevilla,Seville,
Paris Saint-Germain,Paris,Shakhtar Donetsk,Hamburg,
Paris Saint-Germain,Paris,Salzburg,Salzburg,
Paris Saint-Germain,Paris,Crvena zvezda,Belgrade,
Liverpool,Liverpool,Paris Saint-Germain,Paris,
Liverpool,Liverpool,Villarreal,Villarreal,
Liverpool,Liverpool,Copenhagen,Copenhagen,
Liverpool,Liverpool,Monaco,Monaco,
Manchester United,Manchester,Real Madrid,Madrid,
Manchester United,Manchester,Bayer 04 Leverkusen,Leverkusen,
Manchester United,Manchester,Sporting CP,Lisbon,
Manchester United,Manchester,Dinamo Tbilisi,Tbilisi,
Roma,Rome,Manchester United,Manchester,
Roma,Rome,Borussia Dortmund,Dortmund,
Roma,Rome,PSV,Eindhoven,
Roma,Rome,Brighton,Brighton,
Sevilla,Seville,Inter,Milan,
Sevilla,Seville,Atalanta,Bergamo,
Sevilla,Seville,Rangers,Glasgow,
Sevilla,Seville,Ferencváros,Budapest,
Barcelona,Barcelona,Roma,Rome,
Barcelona,Barcelona,West Ham,London,
Barcelona,Barcelona,Lazio,Rome,
Barcelona,Barcelona,Lille,Lille,
Borussia Dortmund,Dortmund,Barcelona,Barcelona,
Borussia Dortmund,Dortmund,Ajax,Amsterdam,
Borussia Dortmund,Dortmund,Copenhagen,Copenhagen,
Borussia Dortmund,Dortmund,Lille,Lille,
Benfica,Lisbon,Paris Saint-Germain,Paris,
Benfica,Lisbon,West Ham,London,
Benfica,Lisbon,PSV,Eindhoven,
Benfica,Lisbon,Union Berlin,Berlin,
Villarreal,Villarreal,Inter,Milan,
Villarreal,Villarreal,Bayer 04 Leverkusen,Leverkusen,
Villarreal,Villarreal,Lazio,Rome,
Villarreal,Villarreal,Dinamo Tbilisi,Tbilisi,
Bayer 04 Leverkusen,Leverkusen,Liverpool,Liverpool,
Bayer 04 Leverkusen,Leverkusen,Arsenal,London,
Bayer 04 Leverkusen,Leverkusen,Club Brugge,Bruges,
Bayer 04 Leverkusen,Leverkusen,Ferencváros,Budapest,
Ajax,Amsterdam,Sevilla,Seville,
Ajax,Amsterdam,Atalanta,Bergamo,
Ajax,Amsterdam,Sporting CP,Lisbon,
Ajax,Amsterdam,Crvena zvezda,Belgrade,
Shakhtar Donetsk,Hamburg,Manchester United,Manchester,
Shakhtar Donetsk,Hamburg,Benfica,Lisbon,
Shakhtar Donetsk,Hamburg,Lyon,Lyon,
Shakhtar Donetsk,Hamburg,Olympiacos,Piraeus,
Arsenal,London,Real Madrid,Madrid,
Arsenal,London,Villarreal,Villarreal,
Arsenal,London,Rangers,Glasgow,
Arsenal,London,Rennes,Rennes,
Atalanta,Bergamo,Bayern,Munich,
Atalanta,Bergamo,Borussia Dortmund,Dortmund,
Atalanta,Bergamo,Real Sociedad,San Sebastián,
Atalanta,Bergamo,Brighton,Brighton,
West Ham,London,Roma,Rome,
West Ham,London,Shakhtar Donetsk,Hamburg,
West Ham,London,Salzburg,Salzburg,
West Ham,London,Monaco,Monaco,
Rangers,Glasgow,Inter,Milan,
Rangers,Glasgow,Bayer 04 Leverkusen,Leverkusen,
Rangers,Glasgow,Salzburg,Salzburg,
Rangers,Glasgow,Union Berlin,Berlin,
Salzburg,Salzburg,Roma,Rome,
Salzburg,Salzburg,Borussia Dortmund,Dortmund,
Salzburg,Salzburg,Club Brugge,Bruges,
