home_team,home_team_city,away_team,away_team_city,double_legged_status,distance
Real Madrid,madrid,Manchester United,manchester,,1457.0
Real Madrid,madrid,Tottenham Hotspur,london,,1263.0
Real Madrid,madrid,Lille,lille,,1251.0
Real Madrid,madrid,Hamrun Spartans FC,ħamrun,,1666.0
Paris Saint-Germain,paris,Napoli,naples,,1291.0
Paris Saint-Germain,paris,Salzburg,salzburg,,798.0
Paris Saint-Germain,paris,LASK,linz,,879.0
Paris Saint-Germain,paris,Twente,enschede,,493.0
Liverpool,liverpool,Atlético de Madrid,madrid,,1446.0
Liverpool,liverpool,Rangers,glasgow,,284.0
Liverpool,liverpool,Rennes,rennes,,596.0
Liverpool,liverpool,Torino,turin,,1206.0
Chelsea,london,Juventus,turin,,919.0
Chelsea,london,Eintracht Frankfurt,frankfurt,,638.0
Chelsea,london,Real Sociedad,san sebastián,,921.0
Chelsea,london,Osasuna,pamplona,,974.0
Manchester United,manchester,Sevilla,seville,,1812.0
Manchester United,manchester,Feyenoord,rotterdam,,485.0
Manchester United,manchester,Lazio,rome,,1689.0
Manchester United,manchester,SC Freiburg,freiburg,,934.0
Sevilla,seville,Chelsea,london,,1636.0
Sevilla,seville,Arsenal,london,,1636.0
Sevilla,seville,Crvena zvezda,belgrade,,2350.0
Sevilla,seville,Mönchengladbach,mönchengladbach,,1809.0
Juventus,turin,Liverpool,liverpool,,1206.0
Juventus,turin,Villarreal,villarreal,,853.0
Juventus,turin,Slavia Praha,prague,,752.0
Juventus,turin,Bodø/Glimt,bodø,,2501.0
Atlético de Madrid,madrid,Paris Saint-Germain,paris,,1053.0
Atlético de Madrid,madrid,FC Porto,porto,,421.0
Atlético de Madrid,madrid,Club Brugge,bruges,,1313.0
Atlético de Madrid,madrid,Ferencváros,budapest,,1974.0
Napoli,naples,Real Madrid,madrid,,1515.0
Napoli,naples,Bayer 04 Leverkusen,leverkusen,,1265.0
Napoli,naples,PSV,eindhoven,,1356.0
Napoli,naples,Young Boys,bern,,870.0
Villarreal,villarreal,Napoli,naples,,1219.0
Villarreal,villarreal,Tottenham Hotspur,london,,1283.0
Villarreal,villarreal,Rennes,rennes,,915.0
Villarreal,villarreal,Hamrun Spartans FC,ħamrun,,1357.0
Bayer 04 Leverkusen,leverkusen,Atlético de Madrid,madrid,,1443.0
Bayer 04 Leverkusen,leverkusen,Salzburg,salzburg,,567.0
Bayer 04 Leverkusen,leverkusen,LASK,linz,,606.0
Bayer 04 Leverkusen,leverkusen,Twente,enschede,,130.0
FC Porto,porto,Manchester United,manchester,,1451.0
FC Porto,porto,Rangers,glasgow,,1666.0
FC Porto,porto,Lille,lille,,1385.0
FC Porto,porto,Torino,turin,,1390.0
Arsenal,london,Juventus,turin,,919.0
Arsenal,london,Feyenoord,rotterdam,,321.0
Arsenal,london,Slavia Praha,prague,,1034.0
Arsenal,london,Mönchengladbach,mönchengladbach,,440.0
Feyenoord,rotterdam,Chelsea,london,,321.0
Feyenoord,rotterdam,Eintracht Frankfurt,frankfurt,,356.0
Feyenoord,rotterdam,Crvena zvezda,belgrade,,1417.0
Feyenoord,rotterdam,SC Freiburg,freiburg,,498.0
Eintracht Frankfurt,frankfurt,Liverpool,liverpool,,882.0
Eintracht Frankfurt,frankfurt,Arsenal,london,,638.0
Eintracht Frankfurt,frankfurt,Lazio,rome,,959.0
Eintracht Frankfurt,frankfurt,Osasuna,pamplona,,1131.0
Tottenham Hotspur,london,Sevilla,seville,,1636.0
Tottenham Hotspur,london,FC Porto,porto,,1321.0
Tottenham Hotspur,london,Real Sociedad,san sebastián,,921.0
Tottenham Hotspur,london,Bodø/Glimt,bodø,,1926.0
Rangers,glasgow,Paris Saint-Germain,paris,,898.0
Rangers,glasgow,Bayer 04 Leverkusen,leverkusen,,915.0
Rangers,glasgow,Club Brugge,bruges,,715.0
Rangers,glasgow,Ferencváros,budapest,,1843.0
Salzburg,salzburg,Real Madrid,madrid,,1565.0
Salzburg,salzburg,Villarreal,villarreal,,1364.0
Salzburg,salzburg,PSV,eindhoven,,678.0
Salzburg,salzburg,Young Boys,bern,,432.0
Club Brugge,bruges,Napoli,naples,,1430.0
Club Brugge,bruges,Salzburg,salzburg,,803.0
Club Brugge,bruges,Rennes,rennes,,492.0
Club Brugge,bruges,Twente,enschede,,277.0
PSV,eindhoven,Atlético de Madrid,madrid,,1414.0
PSV,eindhoven,Rangers,glasgow,,806.0
PSV,eindhoven,LASK,linz,,720.0
PSV,eindhoven,Hamrun Spartans FC,ħamrun,,1873.0
Lazio,rome,Sevilla,seville,,1656.0
Lazio,rome,Tottenham Hotspur,london,,1434.0
Lazio,rome,Lille,lille,,1209.0
Lazio,rome,Osasuna,pamplona,,1165.0
Real Sociedad,san sebastián,Juventus,turin,,794.0
Real Sociedad,san sebastián,Eintracht Frankfurt,frankfurt,,1108.0
Real Sociedad,san sebastián,Slavia Praha,prague,,1455.0
Real Sociedad,san sebastián,Torino,turin,,794.0
Slavia Praha,prague,Manchester United,manchester,,1205.0
Slavia Praha,prague,Feyenoord,rotterdam,,726.0
Slavia Praha,prague,Crvena zvezda,belgrade,,741.0
Slavia Praha,prague,Young Boys,bern,,621.0
Crvena zvezda,belgrade,Paris Saint-Germain,paris,,1445.0
Crvena zvezda,belgrade,Arsenal,london,,1692.0
Crvena zvezda,belgrade,Real Sociedad,san sebastián,,1794.0
Crvena zvezda,belgrade,SC Freiburg,freiburg,,1029.0
Rennes,rennes,Chelsea,london,,393.0
Rennes,rennes,FC Porto,porto,,948.0
Rennes,rennes,Lazio,rome,,1308.0
Rennes,rennes,Mönchengladbach,mönchengladbach,,660.0
Lille,lille,Liverpool,liverpool,,517.0
Lille,lille,Bayer 04 Leverkusen,leverkusen,,281.0
Lille,lille,PSV,eindhoven,,191.0
Lille,lille,Bodø/Glimt,bodø,,1955.0
LASK,linz,Real Madrid,madrid,,1671.0
LASK,linz,Villarreal,villarreal,,1471.0
LASK,linz,Club Brugge,bruges,,856.0
LASK,linz,Ferencváros,budapest,,366.0
Young Boys,bern,Atlético de Madrid,madrid,,1152.0
Young Boys,bern,Rangers,glasgow,,1277.0
Young Boys,bern,LASK,linz,,534.0
Young Boys,bern,Ferencváros,budapest,,877.0
Ferencváros,budapest,Juventus,turin,,912.0
Ferencváros,budapest,Tottenham Hotspur,london,,1449.0
Ferencváros,budapest,Crvena zvezda,belgrade,,320.0
Ferencváros,budapest,Osasuna,pamplona,,1698.0
Bodø/Glimt,bodø,Sevilla,seville,,3562.0
Bodø/Glimt,bodø,Eintracht Frankfurt,frankfurt,,1935.0
Bodø/Glimt,bodø,Slavia Praha,prague,,1913.0
Bodø/Glimt,bodø,Torino,turin,,2501.0
Mönchengladbach,mönchengladbach,Manchester United,manchester,,627.0
Mönchengladbach,mönchengladbach,Feyenoord,rotterdam,,144.0
Mönchengladbach,mönchengladbach,Real Sociedad,san sebastián,,1068.0
Mönchengladbach,mönchengladbach,Bodø/Glimt,bodø,,1846.0
SC Freiburg,freiburg,Chelsea,london,,693.0
SC Freiburg,freiburg,Arsenal,london,,693.0
SC Freiburg,freiburg,Lazio,rome,,770.0
SC Freiburg,freiburg,Young Boys,bern,,121.0
Osasuna,pamplona,Liverpool,liverpool,,1182.0
Osasuna,pamplona,FC Porto,porto,,605.0
Osasuna,pamplona,PSV,eindhoven,,1099.0
Osasuna,pamplona,Mönchengladbach,mönchengladbach,,1102.0
Torino,turin,Paris Saint-Germain,paris,,584.0
Torino,turin,Bayer 04 Leverkusen,leverkusen,,668.0
Torino,turin,Club Brugge,bruges,,758.0
Torino,turin,Hamrun Spartans FC,ħamrun,,1172.0
Twente,enschede,Real Madrid,madrid,,1541.0
Twente,enschede,Villarreal,villarreal,,1464.0
Twente,enschede,Lille,lille,,319.0
Twente,enschede,SC Freiburg,freiburg,,475.0
Hamrun Spartans FC,ħamrun,Napoli,naples,,553.0
Hamrun Spartans FC,ħamrun,Salzburg,salzburg,,1332.0
Hamrun Spartans FC,ħamrun,Rennes,rennes,,1900.0
Hamrun Spartans FC,ħamrun,Twente,enschede,,1913.0
Arsenal,london,Lazio,rome,1,1434.0
Tottenham Hotspur,london,Sevilla,seville,1,1636.0
Atlético de Madrid,madrid,Salzburg,salzburg,1,1565.0
Rennes,rennes,Feyenoord,rotterdam,1,610.0
Slavia Praha,prague,SC Freiburg,freiburg,1,533.0
Real Sociedad,san sebastián,Bodø/Glimt,bodø,1,2838.0
PSV,eindhoven,Rangers,glasgow,1,806.0
Bayer 04 Leverkusen,leverkusen,Crvena zvezda,belgrade,1,1218.0
