match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association
1,Real Madrid,112.0,Madrid,ESP,Slavia Praha,42.0,Prague,CZE
2,Real Madrid,112.0,Madrid,ESP,RB Leipzig,87.0,Leipzig,GER
3,Real Madrid,112.0,Madrid,ESP,Atalanta,58.0,Bergamo,ITA
4,Real Madrid,112.0,Madrid,ESP,Galatasaray,30.5,Istanbul,TUR
5,Manchester City,130.0,Manchester,ENG,Feyenoord,57.0,Rotterdam,NED
6,Manchester City,130.0,Manchester,ENG,Antwerp,21.0,Antwerp,BEL
7,Manchester City,130.0,Manchester,ENG,Lille,35.0,Lille,FRA
8,Manchester City,130.0,Manchester,ENG,Real Madrid,112.0,Madrid,ESP
9,Paris Saint-Germain,101.0,Paris,FRA,Newcastle,18.635,Newcastle upon Tyne,ENG
10,Paris Saint-Germain,101.0,Paris,FRA,Real Sociedad,42.0,San Sebastián,ESP
11,Paris Saint-Germain,101.0,Paris,FRA,Atlético de Madrid,73.0,Madrid,ESP
12,Paris Saint-Germain,101.0,Paris,FRA,Inter,90.0,Milan,ITA
13,Manchester United,91.0,Manchester,ENG,Borussia Dortmund,75.0,Dortmund,GER
14,Manchester United,91.0,Manchester,ENG,Sporting CP,45.5,Lisbon,POR
15,Manchester United,91.0,Manchester,ENG,Villarreal,68.0,Villarreal,ESP
16,Manchester United,91.0,Manchester,ENG,Qarabağ,26.0,Baku,AZE
17,Inter,90.0,Milan,ITA,Manchester United,91.0,Manchester,ENG
18,Inter,90.0,Milan,ITA,Rennes,37.0,Rennes,FRA
19,Inter,90.0,Milan,ITA,Bayer 04 Leverkusen,67.0,Leverkusen,GER
20,Inter,90.0,Milan,ITA,Hearts,6.53,Edinburgh,SCO
21,RB Leipzig,87.0,Leipzig,GER,LASK,34.0,Linz,AUT
22,RB Leipzig,87.0,Leipzig,GER,Arsenal,58.0,London,ENG
23,RB Leipzig,87.0,Leipzig,GER,Juventus,80.0,Turin,ITA
24,RB Leipzig,87.0,Leipzig,GER,Torino,15.171,Turin,ITA
25,Sevilla,84.0,Seville,ESP,Lyon,44.0,Lyon,FRA
26,Sevilla,84.0,Seville,ESP,Manchester City,130.0,Manchester,ENG
27,Sevilla,84.0,Seville,ESP,Rangers,52.0,Glasgow,SCO
28,Sevilla,84.0,Seville,ESP,Slovan Bratislava,26.5,Bratislava,SVK
29,Juventus,80.0,Turin,ITA,Tottenham Hotspur,54.0,London,ENG
30,Juventus,80.0,Turin,ITA,Sevilla,84.0,Seville,ESP
31,Juventus,80.0,Turin,ITA,Mönchengladbach,21.0,Mönchengladbach,GER
32,Juventus,80.0,Turin,ITA,Crvena zvezda,40.0,Belgrade,SRB
