match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association
1,Barcelona,78.0,Barcelona,ESP,Paris Saint-Germain,101.0,Paris,FRA
2,Barcelona,78.0,Barcelona,ESP,Benfica,69.0,Lisbon,POR
3,Barcelona,78.0,Barcelona,ESP,Rangers,52.0,Glasgow,SCO
4,Barcelona,78.0,Barcelona,ESP,Galatasaray,30.5,Istanbul,TUR
5,Manchester City,130.0,Manchester,ENG,Barcelona,78.0,Barcelona,ESP
6,Manchester City,130.0,Manchester,ENG,Sevilla,84.0,Seville,ESP
7,Manchester City,130.0,Manchester,ENG,Club Brugge,48.0,Bruges,BEL
8,Manchester City,130.0,Manchester,ENG,Union Berlin,21.0,Berlin,GER
9,Bayern,126.0,Munich,GER,Manchester United,91.0,Manchester,ENG
10,Bayern,126.0,Munich,GER,West Ham,54.0,London,ENG
11,Bayern,126.0,Munich,GER,Sporting CP,45.5,Lisbon,POR
12,Bayern,126.0,Munich,GER,Ferencváros,30.0,Budapest,HUN
13,Real Madrid,112.0,Madrid,ESP,Inter,90.0,Milan,ITA
14,Real Madrid,112.0,Madrid,ESP,Atalanta,58.0,Bergamo,ITA
15,Real Madrid,112.0,Madrid,ESP,Copenhagen,41.5,Copenhagen,DEN
16,Real Madrid,112.0,Madrid,ESP,LASK,34.0,Linz,AUT
17,Paris Saint-Germain,101.0,Paris,FRA,Manchester City,130.0,Manchester,ENG
18,Paris Saint-Germain,101.0,Paris,FRA,Borussia Dortmund,75.0,Dortmund,GER
19,Paris Saint-Germain,101.0,Paris,FRA,PSV,43.0,Eindhoven,NED
20,Paris Saint-Germain,101.0,Paris,FRA,Ludogorets,19.0,Razgrad,BUL
21,Chelsea,96.0,London,ENG,Roma,86.0,Rome,ITA
22,Chelsea,96.0,London,ENG,Atlético de Madrid,73.0,Madrid,ESP
23,Chelsea,96.0,London,ENG,Real Sociedad,42.0,San Sebastián,ESP
24,Chelsea,96.0,London,ENG,Nice,17.0,Nice,FRA
25,Manchester United,91.0,Manchester,ENG,Real Madrid,112.0,Madrid,ESP
26,Manchester United,91.0,Manchester,ENG,Napoli,71.0,Naples,ITA
27,Manchester United,91.0,Manchester,ENG,Marseille,34.0,Marseille,FRA
28,Manchester United,91.0,Manchester,ENG,Genk,13.0,Genk,BEL
29,Inter,90.0,Milan,ITA,Chelsea,96.0,London,ENG
30,Inter,90.0,Milan,ITA,Tottenham Hotspur,54.0,London,ENG
31,Inter,90.0,Milan,ITA,Crvena zvezda,40.0,Belgrade,SRB
32,Inter,90.0,Milan,ITA,Larne,4.5,Larne,NIR
33,Roma,86.0,Rome,ITA,Bayern,126.0,Munich,GER
34,Roma,86.0,Rome,ITA,Feyenoord,57.0,Rotterdam,NED
35,Roma,86.0,Rome,ITA,Lyon,44.0,Lyon,FRA
36,Roma,86.0,Rome,ITA,SC Freiburg,19.0,Freiburg,GER
37,Sevilla,84.0,Seville,ESP,Paris Saint-Germain,101.0,Paris,FRA
38,Sevilla,84.0,Seville,ESP,Borussia Dortmund,75.0,Dortmund,GER
39,Sevilla,84.0,Seville,ESP,Rangers,52.0,Glasgow,SCO
40,Sevilla,84.0,Seville,ESP,Union Berlin,21.0,Berlin,GER
41,Borussia Dortmund,75.0,Dortmund,GER,Chelsea,96.0,London,ENG
42,Borussia Dortmund,75.0,Dortmund,GER,West Ham,54.0,London,ENG
43,Borussia Dortmund,75.0,Dortmund,GER,Lyon,44.0,Lyon,FRA
44,Borussia Dortmund,75.0,Dortmund,GER,LASK,34.0,Linz,AUT
45,Atlético de Madrid,73.0,Madrid,ESP,Bayern,126.0,Munich,GER
46,Atlético de Madrid,73.0,Madrid,ESP,Feyenoord,57.0,Rotterdam,NED
47,Atlético de Madrid,73.0,Madrid,ESP,Club Brugge,48.0,Bruges,BEL
48,Atlético de Madrid,73.0,Madrid,ESP,Nice,17.0,Nice,FRA
49,Napoli,71.0,Naples,ITA,Barcelona,78.0,Barcelona,ESP
50,Napoli,71.0,Naples,ITA,Sevilla,84.0,Seville,ESP
51,Napoli,71.0,Naples,ITA,Sporting CP,45.5,Lisbon,POR
52,Napoli,71.0,Naples,ITA,Galatasaray,30.5,Istanbul,TUR
53,Benfica,69.0,Lisbon,POR,Real Madrid,112.0,Madrid,ESP
54,Benfica,69.0,Lisbon,POR,Atlético de Madrid,73.0,Madrid,ESP
55,Benfica,69.0,Lisbon,POR,Crvena zvezda,40.0,Belgrade,SRB
56,Benfica,69.0,Lisbon,POR,Ludogorets,19.0,Razgrad,BUL
57,Atalanta,58.0,Bergamo,ITA,Manchester United,91.0,Manchester,ENG
58,Atalanta,58.0,Bergamo,ITA,Benfica,69.0,Lisbon,POR
59,Atalanta,58.0,Bergamo,ITA,Real Sociedad,42.0,San Sebastián,ESP
60,Atalanta,58.0,Bergamo,ITA,SC Freiburg,19.0,Freiburg,GER
61,Feyenoord,57.0,Rotterdam,NED,Manchester City,130.0,Manchester,ENG
62,Feyenoord,57.0,Rotterdam,NED,Tottenham Hotspur,54.0,London,ENG
63,Feyenoord,57.0,Rotterdam,NED,Copenhagen,41.5,Copenhagen,DEN
64,Feyenoord,57.0,Rotterdam,NED,Larne,4.5,Larne,NIR
65,Tottenham Hotspur,54.0,London,ENG,Roma,86.0,Rome,ITA
66,Tottenham Hotspur,54.0,London,ENG,Atalanta,58.0,Bergamo,ITA
67,Tottenham Hotspur,54.0,London,ENG,Marseille,34.0,Marseille,FRA
68,Tottenham Hotspur,54.0,London,ENG,Genk,13.0,Genk,BEL
69,West Ham,54.0,London,ENG,Inter,90.0,Milan,ITA
70,West Ham,54.0,London,ENG,Napoli,71.0,Naples,ITA
71,West Ham,54.0,London,ENG,PSV,43.0,Eindhoven,NED
72,West Ham,54.0,London,ENG,Ferencváros,30.0,Budapest,HUN
73,Rangers,52.0,Glasgow,SCO,Bayern,126.0,Munich,GER
74,Rangers,52.0,Glasgow,SCO,Borussia Dortmund,75.0,Dortmund,GER
75,Rangers,52.0,Glasgow,SCO,Copenhagen,41.5,Copenhagen,DEN
76,Rangers,52.0,Glasgow,SCO,LASK,34.0,Linz,AUT
77,Club Brugge,48.0,Bruges,BEL,Barcelona,78.0,Barcelona,ESP
78,Club Brugge,48.0,Bruges,BEL,Sevilla,84.0,Seville,ESP
79,Club Brugge,48.0,Bruges,BEL,Rangers,52.0,Glasgow,SCO
80,Club Brugge,48.0,Bruges,BEL,Ferencváros,30.0,Budapest,HUN
81,Sporting CP,45.5,Lisbon,POR,Real Madrid,112.0,Madrid,ESP
82,Sporting CP,45.5,Lisbon,POR,Feyenoord,57.0,Rotterdam,NED
83,Sporting CP,45.5,Lisbon,POR,Real Sociedad,42.0,San Sebastián,ESP
84,Sporting CP,45.5,Lisbon,POR,Nice,17.0,Nice,FRA
85,Lyon,44.0,Lyon,FRA,Chelsea,96.0,London,ENG
86,Lyon,44.0,Lyon,FRA,Napoli,71.0,Naples,ITA
87,Lyon,44.0,Lyon,FRA,Crvena zvezda,40.0,Belgrade,SRB
88,Lyon,44.0,Lyon,FRA,Union Berlin,21.0,Berlin,GER
89,PSV,43.0,Eindhoven,NED,Manchester City,130.0,Manchester,ENG
90,PSV,43.0,Eindhoven,NED,Benfica,69.0,Lisbon,POR
91,PSV,43.0,Eindhoven,NED,Club Brugge,48.0,Bruges,BEL
92,PSV,43.0,Eindhoven,NED,Galatasaray,30.5,Istanbul,TUR
93,Real Sociedad,42.0,San Sebastián,ESP,Paris Saint-Germain,101.0,Paris,FRA
94,Real Sociedad,42.0,San Sebastián,ESP,Tottenham Hotspur,54.0,London,ENG
95,Real Sociedad,42.0,San Sebastián,ESP,Lyon,44.0,Lyon,FRA
96,Real Sociedad,42.0,San Sebastián,ESP,SC Freiburg,19.0,Freiburg,GER
97,Copenhagen,41.5,Copenhagen,DEN,Manchester United,91.0,Manchester,ENG
98,Copenhagen,41.5,Copenhagen,DEN,West Ham,54.0,London,ENG
99,Copenhagen,41.5,Copenhagen,DEN,Sporting CP,45.5,Lisbon,POR
100,Copenhagen,41.5,Copenhagen,DEN,Ludogorets,19.0,Razgrad,BUL
101,Crvena zvezda,40.0,Belgrade,SRB,Roma,86.0,Rome,ITA
102,Crvena zvezda,40.0,Belgrade,SRB,Atalanta,58.0,Bergamo,ITA
103,Crvena zvezda,40.0,Belgrade,SRB,Marseille,34.0,Marseille,FRA
104,Crvena zvezda,40.0,Belgrade,SRB,Genk,13.0,Genk,BEL
105,Marseille,34.0,Marseille,FRA,Inter,90.0,Milan,ITA
106,Marseille,34.0,Marseille,FRA,Atlético de Madrid,73.0,Madrid,ESP
107,Marseille,34.0,Marseille,FRA,PSV,43.0,Eindhoven,NED
108,Marseille,34.0,Marseille,FRA,Larne,4.5,Larne,NIR
109,LASK,34.0,Linz,AUT,Paris Saint-Germain,101.0,Paris,FRA
110,LASK,34.0,Linz,AUT,West Ham,54.0,London,ENG
111,LASK,34.0,Linz,AUT,PSV,43.0,Eindhoven,NED
112,LASK,34.0,Linz,AUT,Ferencváros,30.0,Budapest,HUN
113,Galatasaray,30.5,Istanbul,TUR,Bayern,126.0,Munich,GER
114,Galatasaray,30.5,Istanbul,TUR,Sevilla,84.0,Seville,ESP
115,Galatasaray,30.5,Istanbul,TUR,Rangers,52.0,Glasgow,SCO
116,Galatasaray,30.5,Istanbul,TUR,Union Berlin,21.0,Berlin,GER
117,Ferencváros,30.0,Budapest,HUN,Barcelona,78.0,Barcelona,ESP
118,Ferencváros,30.0,Budapest,HUN,Borussia Dortmund,75.0,Dortmund,GER
