match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,distance
1,Atlético de Madrid,73.0,Madrid,ESP,Sporting CP,45.5,Lisbon,POR,502.0
2,Atlético de Madrid,73.0,Madrid,ESP,Lazio,43.0,Rome,ITA,1364.0
3,Atlético de Madrid,73.0,Madrid,ESP,Paris Saint-Germain,101.0,Paris,FRA,1053.0
4,Atlético de Madrid,73.0,Madrid,ESP,Ordabasy,4.0,Shymkent,KAZ,5921.0
5,Manchester City,130.0,Manchester,ENG,Club Brugge,48.0,Bruges,BEL,449.0
6,Manchester City,130.0,Manchester,ENG,Pyunik,9.5,Yerevan,ARM,3769.0
7,Manchester City,130.0,Manchester,ENG,Rennes,37.0,Rennes,FRA,598.0
8,Manchester City,130.0,Manchester,ENG,Sevilla,84.0,Seville,ESP,1812.0
9,Real Madrid,112.0,Madrid,ESP,Juventus,80.0,Turin,ITA,1063.0
10,Real Madrid,112.0,Madrid,ESP,Aston Villa,18.635,Birmingham,ENG,1351.0
11,Real Madrid,112.0,Madrid,ESP,AZ Alkmaar,48.0,Alkmaar,NED,1502.0
12,Real Madrid,112.0,Madrid,ESP,Crvena zvezda,40.0,Belgrade,SRB,2027.0
13,Paris Saint-Germain,101.0,Paris,FRA,Real Madrid,112.0,Madrid,ESP,1053.0
14,Paris Saint-Germain,101.0,Paris,FRA,Rangers,52.0,Glasgow,SCO,898.0
15,Paris Saint-Germain,101.0,Paris,FRA,Qarabağ,26.0,Baku,AZE,3813.0
16,Paris Saint-Germain,101.0,Paris,FRA,Mönchengladbach,21.0,Mönchengladbach,GER,376.0
17,Liverpool,100.0,Liverpool,ENG,VfL Wolfsburg,22.5,Wolfsburg,GER,930.0
18,Liverpool,100.0,Liverpool,ENG,Roma,86.0,Rome,ITA,1720.0
19,Liverpool,100.0,Liverpool,ENG,Villarreal,68.0,Villarreal,ESP,1510.0
20,Liverpool,100.0,Liverpool,ENG,Víkingur Reykjavík,4.0,Reykjavík,ISL,1599.0
21,Manchester United,91.0,Manchester,ENG,Borussia Dortmund,75.0,Dortmund,GER,692.0
22,Manchester United,91.0,Manchester,ENG,H. Beer Sheva,17.0,Beer Sheva,ISR,3848.0
23,Manchester United,91.0,Manchester,ENG,Celtic,30.0,Glasgow,SCO,294.0
24,Manchester United,91.0,Manchester,ENG,Atlético de Madrid,73.0,Madrid,ESP,1457.0
25,Roma,86.0,Rome,ITA,Marseille,34.0,Marseille,FRA,603.0
26,Roma,86.0,Rome,ITA,Rapid Wien,14.0,Vienna,AUT,764.0
