match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,result
1,Manchester City,141.0,Manchester,ENG,Atlético de Madrid,84.0,Madrid,ESP,H
2,Manchester City,141.0,Manchester,ENG,Feyenoord,57.0,Rotterdam,NED,H
3,Manchester City,141.0,Manchester,ENG,Ferencváros,35.0,Budapest,HUN,H
4,Manchester City,141.0,Manchester,ENG,Nice,17.0,Nice,FRA,A
5,Real Madrid,123.0,Madrid,ESP,RB Leipzig,96.0,Leipzig,GER,T
6,Real Madrid,123.0,Madrid,ESP,Arsenal,68.0,London,ENG,A
7,Real Madrid,123.0,Madrid,ESP,Crvena zvezda,40.0,Belgrade,SRB,A
8,Real Madrid,123.0,Madrid,ESP,Luzern,6.355,Luzern,SUI,A
9,Liverpool,107.0,Liverpool,ENG,Sevilla,84.0,Seville,ESP,T
10,Liverpool,107.0,Liverpool,ENG,Club Brugge,56.0,Bruges,BEL,H
11,Liverpool,107.0,Liverpool,ENG,Rennes,43.0,Rennes,FRA,H
12,Liverpool,107.0,Liverpool,ENG,Osasuna,17.222,Pamplona,ESP,H
13,Chelsea,96.0,London,ENG,Barcelona,85.0,Barcelona,ESP,H
14,Chelsea,96.0,London,ENG,Eintracht Frankfurt,60.0,Frankfurt,GER,H
15,Chelsea,96.0,London,ENG,Lyon,44.0,Lyon,FRA,H
16,Chelsea,96.0,London,ENG,H. Beer Sheva,17.0,Beer Sheva,ISR,H
17,RB Leipzig,96.0,Leipzig,GER,Chelsea,96.0,London,ENG,H
18,RB Leipzig,96.0,Leipzig,GER,Atalanta,68.0,Bergamo,ITA,H
19,RB Leipzig,96.0,Leipzig,GER,Salzburg,50.0,Salzburg,AUT,A
20,RB Leipzig,96.0,Leipzig,GER,Bodø/Glimt,29.5,Bodø,NOR,H
21,Manchester United,92.0,Manchester,ENG,Real Madrid,123.0,Madrid,ESP,A
22,Manchester United,92.0,Manchester,ENG,Bayer 04 Leverkusen,78.0,Leverkusen,GER,H
23,Manchester United,92.0,Manchester,ENG,AZ Alkmaar,50.0,Alkmaar,NED,H
24,Manchester United,92.0,Manchester,ENG,Real Betis,33.0,Seville,ESP,H
25,Barcelona,85.0,Barcelona,ESP,Liverpool,107.0,Liverpool,ENG,A
26,Barcelona,85.0,Barcelona,ESP,FC Porto,75.0,Porto,POR,A
27,Barcelona,85.0,Barcelona,ESP,Copenhagen,51.5,Copenhagen,DEN,H
28,Barcelona,85.0,Barcelona,ESP,VfL Wolfsburg,22.5,Wolfsburg,GER,H
29,Sevilla,84.0,Seville,ESP,Manchester City,141.0,Manchester,ENG,A
30,Sevilla,84.0,Seville,ESP,Juventus,80.0,Turin,ITA,H
31,Sevilla,84.0,Seville,ESP,Sporting CP,52.5,Lisbon,POR,H
32,Sevilla,84.0,Seville,ESP,Celtic,32.0,Glasgow,SCO,H
33,Atlético de Madrid,84.0,Madrid,ESP,Manchester United,92.0,Manchester,ENG,T
34,Atlético de Madrid,84.0,Madrid,ESP,Napoli,79.0,Naples,ITA,A
35,Atlético de Madrid,84.0,Madrid,ESP,PSV,53.0,Eindhoven,NED,T
36,Atlético de Madrid,84.0,Madrid,ESP,Fiorentina,31.0,Florence,ITA,H
37,Juventus,80.0,Turin,ITA,Atlético de Madrid,84.0,Madrid,ESP,T
38,Juventus,80.0,Turin,ITA,Eintracht Frankfurt,60.0,Frankfurt,GER,A
39,Juventus,80.0,Turin,ITA,Crvena zvezda,40.0,Belgrade,SRB,T
40,Juventus,80.0,Turin,ITA,H. Beer Sheva,17.0,Beer Sheva,ISR,H
41,Napoli,79.0,Naples,ITA,Sevilla,84.0,Seville,ESP,H
42,Napoli,79.0,Naples,ITA,Club Brugge,56.0,Bruges,BEL,T
43,Napoli,79.0,Naples,ITA,Ferencváros,35.0,Budapest,HUN,H
44,Napoli,79.0,Naples,ITA,Luzern,6.355,Luzern,SUI,H
45,Bayer 04 Leverkusen,78.0,Leverkusen,GER,Barcelona,85.0,Barcelona,ESP,T
46,Bayer 04 Leverkusen,78.0,Leverkusen,GER,Feyenoord,57.0,Rotterdam,NED,A
47,Bayer 04 Leverkusen,78.0,Leverkusen,GER,Lyon,44.0,Lyon,FRA,H
48,Bayer 04 Leverkusen,78.0,Leverkusen,GER,Nice,17.0,Nice,FRA,H
49,FC Porto,75.0,Porto,POR,Manchester United,92.0,Manchester,ENG,T
50,FC Porto,75.0,Porto,POR,Atalanta,68.0,Bergamo,ITA,T
51,FC Porto,75.0,Porto,POR,Rennes,43.0,Rennes,FRA,A
52,FC Porto,75.0,Porto,POR,VfL Wolfsburg,22.5,Wolfsburg,GER,H
53,Atalanta,68.0,Bergamo,ITA,Chelsea,96.0,London,ENG,T
54,Atalanta,68.0,Bergamo,ITA,Arsenal,68.0,London,ENG,H
55,Atalanta,68.0,Bergamo,ITA,AZ Alkmaar,50.0,Alkmaar,NED,H
56,Atalanta,68.0,Bergamo,ITA,Osasuna,17.222,Pamplona,ESP,H
57,Arsenal,68.0,London,ENG,RB Leipzig,96.0,Leipzig,GER,T
58,Arsenal,68.0,London,ENG,Bayer 04 Leverkusen,78.0,Leverkusen,GER,A
59,Arsenal,68.0,London,ENG,Salzburg,50.0,Salzburg,AUT,T
60,Arsenal,68.0,London,ENG,Fiorentina,31.0,Florence,ITA,A
61,Eintracht Frankfurt,60.0,Frankfurt,GER,Liverpool,107.0,Liverpool,ENG,A
