rank,team_name,association,uefa_coefficient,city,points,wins,draws,losses
1,Real Madrid,ESP,112.0,Madrid,19,6,1,1
2,Paris Saint-Germain,FRA,101.0,Paris,17,5,2,1
3,Chelsea,ENG,96.0,London,17,5,2,1
4,Manchester United,ENG,91.0,Manchester,17,5,2,1
5,Liverpool,ENG,100.0,Liverpool,16,5,1,2
6,Club Brugge,BEL,48.0,Bruges,16,5,1,2
7,Lille,FRA,35.0,Lille,16,5,1,2
8,Napoli,ITA,71.0,Naples,15,4,3,1
9,Tottenham Hotspur,ENG,54.0,London,15,4,3,1
10,PSV,NED,43.0,Eindhoven,15,5,0,3
11,Real Sociedad,ESP,42.0,San Sebastián,15,5,0,3
12,Atlético de Madrid,ESP,73.0,Madrid,14,4,2,2
13,Slavia Praha,CZE,42.0,Prague,14,4,2,2
14,Rennes,FRA,37.0,Rennes,14,4,2,2
15,Arsenal,ENG,58.0,London,13,4,1,3
16,Bayer 04 Leverkusen,GER,67.0,Leverkusen,12,4,0,4
17,Lazio,ITA,43.0,Rome,12,3,3,2
18,Crvena zvezda,SRB,40.0,Belgrade,11,3,2,3
19,SC Freiburg,GER,19.0,Freiburg,11,3,2,3
20,Feyenoord,NED,57.0,Rotterdam,10,3,1,4
21,Salzburg,AUT,49.0,Salzburg,10,3,1,4
22,Bodø/Glimt,NOR,24.5,Bodø,10,2,4,2
23,Sevilla,ESP,84.0,Seville,9,2,3,3
24,Rangers,SCO,52.0,Glasgow,9,3,0,5
25,LASK,AUT,34.0,Linz,9,2,3,3
26,Young Boys,SUI,32.5,Bern,9,2,3,3
27,Ferencváros,HUN,30.0,Budapest,9,2,3,3
28,Juventus,ITA,80.0,Turin,7,2,1,5
29,Villarreal,ESP,68.0,Villarreal,7,1,4,3
30,Mönchengladbach,GER,21.0,Mönchengladbach,7,2,1,5
31,Torino,ITA,15.171,Turin,7,2,1,5
32,FC Porto,POR,66.0,Porto,6,2,0,6
33,Osasuna,ESP,15.922,Pamplona,6,2,0,6
34,Eintracht Frankfurt,GER,57.0,Frankfurt,3,0,3,5
35,Twente,NED,11.42,Enschede,2,0,2,6
36,Hamrun Spartans FC,MLT,4.5,Ħamrun,2,0,2,6
