run,average_distance_travelled_per_team,average_distance_travelled_per_game,total_distance_travelled,longest_distance_travelled_by_a_team,fixture_with_longest_distance
1,5168,1180,186032,Sevilla - 7862,Crvena zvezda (belgrade) v Benfica (lisbon) - 2530.0
2,5378,1218,193626,Bodø/Glimt - 10162,Dynamo Kyiv (bucharest) v Sporting CP (lisbon) - 2975.0
3,4395,1002,158204,FC Porto - 7627,Aberdeen (aberdeen) v Real Betis (seville) - 2216.0
4,5539,1256,199388,Bodø/Glimt - 11132,Bodø/Glimt (bodø) v Benfica (lisbon) - 3495.0
5,5068,1140,182449,Crvena zvezda - 10586,Monaco (monaco) v Bodø/Glimt (bodø) - 2651.0
6,5448,1242,196137,APOEL - 10840,Tottenham Hotspur (london) v APOEL (nicosia) - 3218.0
7,5849,1330,210570,Pyunik - 13152,Sporting CP (lisbon) v Pyunik (yerevan) - 4538.0
8,4942,1127,177910,AEK Athens - 8961,Real Madrid (madrid) v Beşiktaş (istanbul) - 2739.0
9,4668,1061,168047,Real Betis - 7012,Aberdeen (aberdeen) v Real Betis (seville) - 2216.0
10,5666,1288,203984,HJK - 9764,Real Betis (seville) v HJK (helsinki) - 3339.0
11,5431,1218,195510,Qarabağ - 12802,Qarabağ (baku) v Atlético de Madrid (madrid) - 4466.0
12,5269,1204,189694,FC Porto - 9020,Bodø/Glimt (bodø) v Atlético de Madrid (madrid) - 3186.0
13,5137,1158,184943,Benfica - 8300,Benfica (lisbon) v Ludogorets (razgrad) - 3011.0
14,5074,1157,182653,Qarabağ - 14673,Sevilla (seville) v Qarabağ (baku) - 4767.0
15,5698,1298,205123,Adana Demirspor - 11654,Sevilla (seville) v Adana Demirspor (adana) - 3629.0
16,4991,1120,179675,Sporting CP - 10146,Crvena zvezda (belgrade) v Sporting CP (lisbon) - 2530.0
17,5232,1188,188351,Galatasaray - 9655,Galatasaray (istanbul) v Benfica (lisbon) - 3237.0
18,5315,1194,191329,Real Betis - 9781,Dynamo Kyiv (bucharest) v Sevilla (seville) - 2788.0
19,5057,1137,182038,Napoli - 8388,Barcelona (barcelona) v Flora Tallinn (tallinn) - 2541.0
20,5538,1246,199382,Galatasaray - 10689,Bodø/Glimt (bodø) v Sporting CP (lisbon) - 3495.0
21,5729,1293,206250,Maccabi Haifa - 11568,Maccabi Haifa (haifa) v Sevilla (seville) - 3733.0
22,4671,1066,168160,HJK - 8001,Galatasaray (istanbul) v Aston Villa (birmingham) - 2630.0
23,5325,1217,191707,Bodø/Glimt - 10433,Olympiacos (piraeus) v Benfica (lisbon) - 2849.0
24,5098,1162,183534,APOEL - 12185,Benfica (lisbon) v APOEL (nicosia) - 3765.0
25,4837,1098,174143,Sevilla - 10139,Sevilla (seville) v KÍ Klaksvík (klaksvík) - 2762.0
26,6134,1410,220842,Ordabasy - 20276,Atlético de Madrid (madrid) v Ordabasy (shymkent) - 5921.0
27,5011,1128,180379,APOEL - 11176,APOEL (nicosia) v Rangers (glasgow) - 3652.0
28,5765,1292,207536,Qarabağ - 19175,FC Porto (porto) v Qarabağ (baku) - 4831.0
29,5954,1340,214358,Qarabağ - 17834,Qarabağ (baku) v Benfica (lisbon) - 4968.0
30,5375,1202,193501,Olympiacos - 10758,Sheriff (tiraspol) v Benfica (lisbon) - 3264.0
31,4978,1148,179198,Real Betis - 8439,Sevilla (seville) v Ludogorets (razgrad) - 2814.0
32,6059,1358,218131,Qarabağ - 15521,Rennes (rennes) v Qarabağ (baku) - 4116.0
33,5755,1300,207180,H. Beer Sheva - 13651,Manchester United (manchester) v H. Beer Sheva (beer sheva) - 3848.0
34,5293,1203,190563,Beşiktaş - 10273,Rangers (glasgow) v Beşiktaş (istanbul) - 2912.0
35,5263,1180,189478,Real Betis - 10007,Olympiacos (piraeus) v Sevilla (seville) - 2602.0
36,5306,1179,191017,Maccabi Haifa - 15811,Manchester United (manchester) v Maccabi Haifa (haifa) - 3728.0
37,4992,1116,179701,Sevilla - 9902,Benfica (lisbon) v Slavia Praha (prague) - 2244.0
38,4810,1094,173164,FC Porto - 7754,Sevilla (seville) v Riga (riga) - 3101.0
39,5018,1131,180657,Bodø/Glimt - 12046,Benfica (lisbon) v Fenerbahçe (istanbul) - 3237.0
40,5372,1228,193397,APOEL - 10797,APOEL (nicosia) v Sevilla (seville) - 3511.0
41,5504,1256,198160,Real Betis - 8799,Benfica (lisbon) v Riga (riga) - 3151.0
42,5064,1152,182317,Real Betis - 10279,Bodø/Glimt (bodø) v Real Madrid (madrid) - 3186.0
43,5988,1354,215586,Maccabi Haifa - 13163,Maccabi Haifa (haifa) v Rangers (glasgow) - 3952.0
44,5580,1255,200892,Maccabi Haifa - 12026,Maccabi Haifa (haifa) v Braga (braga) - 3925.0
45,5054,1135,181946,Galatasaray - 9412,Galatasaray (istanbul) v Rennes (rennes) - 2535.0
46,5192,1175,186902,Sevilla - 9353,Rangers (glasgow) v Olympiacos (piraeus) - 2872.0
47,4766,1086,171582,Real Betis - 7664,Barcelona (barcelona) v Riga (riga) - 2333.0
48,4884,1094,175819,Benfica - 7418,Rangers (glasgow) v Olympiacos (piraeus) - 2872.0
