match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association
1,Real Madrid,123.0,Madrid,ESP,Paris Saint-Germain,108.0,Paris,FRA
2,Real Madrid,123.0,Madrid,ESP,FC Porto,75.0,Porto,POR
3,Real Madrid,123.0,Madrid,ESP,AC Milan,53.0,Milan,ITA
4,Real Madrid,123.0,Madrid,ESP,Galatasaray,31.5,Istanbul,TUR
5,Paris Saint-Germain,108.0,Paris,FRA,Liverpool,107.0,Liverpool,ENG
6,Paris Saint-Germain,108.0,Paris,FRA,Juventus,80.0,Turin,ITA
7,Paris Saint-Germain,108.0,Paris,FRA,Club Brugge,56.0,Bruges,BEL
8,Paris Saint-Germain,108.0,Paris,FRA,Ferencváros,35.0,Budapest,HUN
9,Liverpool,107.0,Liverpool,ENG,Real Madrid,123.0,Madrid,ESP
10,Liverpool,107.0,Liverpool,ENG,Atlético de Madrid,84.0,Madrid,ESP
11,Liverpool,107.0,Liverpool,ENG,PSV,53.0,Eindhoven,NED
12,Liverpool,107.0,Liverpool,ENG,Celtic,32.0,Glasgow,SCO
13,Inter,99.0,Milan,ITA,Barcelona,85.0,Barcelona,ESP
14,Inter,99.0,Milan,ITA,Villarreal,80.0,Villarreal,ESP
15,Inter,99.0,Milan,ITA,Tottenham Hotspur,54.0,London,ENG
16,Inter,99.0,Milan,ITA,Monaco,24.0,Monaco,FRA
17,RB Leipzig,96.0,Leipzig,GER,Inter,99.0,Milan,ITA
18,RB Leipzig,96.0,Leipzig,GER,West Ham,65.0,London,ENG
19,RB Leipzig,96.0,Leipzig,GER,AZ Alkmaar,50.0,Alkmaar,NED
20,RB Leipzig,96.0,Leipzig,GER,Dynamo Kyiv,26.5,Bucharest,UKR
21,Manchester United,92.0,Manchester,ENG,Roma,91.0,Rome,ITA
22,Manchester United,92.0,Manchester,ENG,Bayer 04 Leverkusen,78.0,Leverkusen,GER
23,Manchester United,92.0,Manchester,ENG,Braga,49.0,Braga,POR
24,Manchester United,92.0,Manchester,ENG,Nice,17.0,Nice,FRA
25,Roma,91.0,Rome,ITA,Sevilla,84.0,Seville,ESP
26,Roma,91.0,Rome,ITA,Arsenal,68.0,London,ENG
27,Roma,91.0,Rome,ITA,Salzburg,50.0,Salzburg,AUT
28,Roma,91.0,Rome,ITA,Mönchengladbach,21.0,Mönchengladbach,GER
29,Barcelona,85.0,Barcelona,ESP,RB Leipzig,96.0,Leipzig,GER
30,Barcelona,85.0,Barcelona,ESP,Feyenoord,57.0,Rotterdam,NED
31,Barcelona,85.0,Barcelona,ESP,Crvena zvezda,40.0,Belgrade,SRB
32,Barcelona,85.0,Barcelona,ESP,Lugano,8.0,Lugano,SUI
33,Sevilla,84.0,Seville,ESP,Manchester United,92.0,Manchester,ENG
34,Sevilla,84.0,Seville,ESP,Eintracht Frankfurt,60.0,Frankfurt,GER
35,Sevilla,84.0,Seville,ESP,Lyon,44.0,Lyon,FRA
36,Sevilla,84.0,Seville,ESP,Čukarički,8.0,Belgrade,SRB
37,Atlético de Madrid,84.0,Madrid,ESP,Paris Saint-Germain,108.0,Paris,FRA
38,Atlético de Madrid,84.0,Madrid,ESP,West Ham,65.0,London,ENG
39,Atlético de Madrid,84.0,Madrid,ESP,AC Milan,53.0,Milan,ITA
40,Atlético de Madrid,84.0,Madrid,ESP,Celtic,32.0,Glasgow,SCO
41,Juventus,80.0,Turin,ITA,Real Madrid,123.0,Madrid,ESP
42,Juventus,80.0,Turin,ITA,Arsenal,68.0,London,ENG
43,Juventus,80.0,Turin,ITA,Tottenham Hotspur,54.0,London,ENG
44,Juventus,80.0,Turin,ITA,Dynamo Kyiv,26.5,Bucharest,UKR
45,Villarreal,80.0,Villarreal,ESP,Liverpool,107.0,Liverpool,ENG
46,Villarreal,80.0,Villarreal,ESP,Juventus,80.0,Turin,ITA
47,Villarreal,80.0,Villarreal,ESP,Salzburg,50.0,Salzburg,AUT
48,Villarreal,80.0,Villarreal,ESP,Ferencváros,35.0,Budapest,HUN
49,Bayer 04 Leverkusen,78.0,Leverkusen,GER,Inter,99.0,Milan,ITA
50,Bayer 04 Leverkusen,78.0,Leverkusen,GER,Atlético de Madrid,84.0,Madrid,ESP
51,Bayer 04 Leverkusen,78.0,Leverkusen,GER,Braga,49.0,Braga,POR
52,Bayer 04 Leverkusen,78.0,Leverkusen,GER,Monaco,24.0,Monaco,FRA
53,FC Porto,75.0,Porto,POR,Manchester United,92.0,Manchester,ENG
54,FC Porto,75.0,Porto,POR,Villarreal,80.0,Villarreal,ESP
55,FC Porto,75.0,Porto,POR,PSV,53.0,Eindhoven,NED
56,FC Porto,75.0,Porto,POR,Galatasaray,31.5,Istanbul,TUR
57,Arsenal,68.0,London,ENG,RB Leipzig,96.0,Leipzig,GER
58,Arsenal,68.0,London,ENG,Bayer 04 Leverkusen,78.0,Leverkusen,GER
59,Arsenal,68.0,London,ENG,Club Brugge,56.0,Bruges,BEL
60,Arsenal,68.0,London,ENG,Nice,17.0,Nice,FRA
61,West Ham,65.0,London,ENG,Roma,91.0,Rome,ITA
62,West Ham,65.0,London,ENG,Feyenoord,57.0,Rotterdam,NED
63,West Ham,65.0,London,ENG,AZ Alkmaar,50.0,Alkmaar,NED
64,West Ham,65.0,London,ENG,Mönchengladbach,21.0,Mönchengladbach,GER
65,Eintracht Frankfurt,60.0,Frankfurt,GER,Barcelona,85.0,Barcelona,ESP
66,Eintracht Frankfurt,60.0,Frankfurt,GER,FC Porto,75.0,Porto,POR
