match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,result
1,Real Madrid,123.0,Madrid,ESP,Paris Saint-Germain,108.0,Paris,FRA,A
2,Real Madrid,123.0,Madrid,ESP,FC Porto,75.0,Porto,POR,H
3,Real Madrid,123.0,Madrid,ESP,AC Milan,53.0,Milan,ITA,H
4,Real Madrid,123.0,Madrid,ESP,Galatasaray,31.5,Istanbul,TUR,A
5,Paris Saint-Germain,108.0,Paris,FRA,Liverpool,107.0,Liverpool,ENG,H
6,Paris Saint-Germain,108.0,Paris,FRA,Juventus,80.0,Turin,ITA,A
7,Paris Saint-Germain,108.0,Paris,FRA,Club Brugge,56.0,Bruges,BEL,A
8,Paris Saint-Germain,108.0,Paris,FRA,Ferencváros,35.0,Budapest,HUN,H
9,Liverpool,107.0,Liverpool,ENG,Real Madrid,123.0,Madrid,ESP,H
10,Liverpool,107.0,Liverpool,ENG,Atlético de Madrid,84.0,Madrid,ESP,H
11,Liverpool,107.0,Liverpool,ENG,PSV,53.0,Eindhoven,NED,T
12,Liverpool,107.0,Liverpool,ENG,Celtic,32.0,Glasgow,SCO,A
13,Inter,99.0,Milan,ITA,Barcelona,85.0,Barcelona,ESP,H
14,Inter,99.0,Milan,ITA,Villarreal,80.0,Villarreal,ESP,A
15,Inter,99.0,Milan,ITA,Tottenham Hotspur,54.0,London,ENG,A
16,Inter,99.0,Milan,ITA,Monaco,24.0,Monaco,FRA,A
17,RB Leipzig,96.0,Leipzig,GER,Inter,99.0,Milan,ITA,H
18,RB Leipzig,96.0,Leipzig,GER,West Ham,65.0,London,ENG,H
19,RB Leipzig,96.0,Leipzig,GER,AZ Alkmaar,50.0,Alkmaar,NED,T
20,RB Leipzig,96.0,Leipzig,GER,Dynamo Kyiv,26.5,Bucharest,UKR,A
21,Manchester United,92.0,Manchester,ENG,Roma,91.0,Rome,ITA,T
22,Manchester United,92.0,Manchester,ENG,Bayer 04 Leverkusen,78.0,Leverkusen,GER,A
23,Manchester United,92.0,Manchester,ENG,Braga,49.0,Braga,POR,T
24,Manchester United,92.0,Manchester,ENG,Nice,17.0,Nice,FRA,H
25,Roma,91.0,Rome,ITA,Sevilla,84.0,Seville,ESP,H
26,Roma,91.0,Rome,ITA,Arsenal,68.0,London,ENG,A
27,Roma,91.0,Rome,ITA,Salzburg,50.0,Salzburg,AUT,H
28,Roma,91.0,Rome,ITA,Mönchengladbach,21.0,Mönchengladbach,GER,A
29,Barcelona,85.0,Barcelona,ESP,RB Leipzig,96.0,Leipzig,GER,T
30,Barcelona,85.0,Barcelona,ESP,Feyenoord,57.0,Rotterdam,NED,A
31,Barcelona,85.0,Barcelona,ESP,Crvena zvezda,40.0,Belgrade,SRB,A
32,Barcelona,85.0,Barcelona,ESP,Lugano,8.0,Lugano,SUI,H
33,Sevilla,84.0,Seville,ESP,Manchester United,92.0,Manchester,ENG,H
34,Sevilla,84.0,Seville,ESP,Eintracht Frankfurt,60.0,Frankfurt,GER,H
35,Sevilla,84.0,Seville,ESP,Lyon,44.0,Lyon,FRA,A
36,Sevilla,84.0,Seville,ESP,Čukarički,8.0,Belgrade,SRB,H
37,Atlético de Madrid,84.0,Madrid,ESP,Paris Saint-Germain,108.0,Paris,FRA,T
38,Atlético de Madrid,84.0,Madrid,ESP,West Ham,65.0,London,ENG,A
39,Atlético de Madrid,84.0,Madrid,ESP,AC Milan,53.0,Milan,ITA,A
40,Atlético de Madrid,84.0,Madrid,ESP,Celtic,32.0,Glasgow,SCO,H
41,Juventus,80.0,Turin,ITA,Real Madrid,123.0,Madrid,ESP,A
42,Juventus,80.0,Turin,ITA,Arsenal,68.0,London,ENG,H
43,Juventus,80.0,Turin,ITA,Tottenham Hotspur,54.0,London,ENG,H
44,Juventus,80.0,Turin,ITA,Dynamo Kyiv,26.5,Bucharest,UKR,H
45,Villarreal,80.0,Villarreal,ESP,Liverpool,107.0,Liverpool,ENG,A
46,Villarreal,80.0,Villarreal,ESP,Juventus,80.0,Turin,ITA,H
