home_team,home_team_city,away_team,away_team_city,double_legged_status
Real Madrid,Madrid,Paris Saint-Germain,Paris,
Real Madrid,Madrid,FC Porto,Porto,
Real Madrid,Madrid,AC Milan,Milan,
Real Madrid,Madrid,Galatasaray,Istanbul,
Paris Saint-Germain,Paris,Liverpool,Liverpool,
Paris Saint-Germain,Paris,Juventus,Turin,
Paris Saint-Germain,Paris,Club Brugge,Bruges,
Paris Saint-Germain,Paris,Ferencváros,Budapest,
Liverpool,Liverpool,Real Madrid,Madrid,
Liverpool,Liverpool,Atlético de Madrid,Madrid,
Liverpool,Liverpool,PSV,Eindhoven,
Liverpool,Liverpool,Celtic,Glasgow,
Inter,Milan,Barcelona,Barcelona,
Inter,Milan,Villarreal,Villarreal,
Inter,Milan,Tottenham Hotspur,London,
Inter,Milan,Monaco,Monaco,
RB Leipzig,Leipzig,Inter,Milan,
RB Leipzig,Leipzig,West Ham,London,
RB Leipzig,Leipzig,AZ Alkmaar,Alkmaar,
RB Leipzig,Leipzig,Dynamo Kyiv,Bucharest,
Manchester United,Manchester,Roma,Rome,
Manchester United,Manchester,Bayer 04 Leverkusen,Leverkusen,
Manchester United,Manchester,Braga,Braga,
Manchester United,Manchester,Nice,Nice,
Roma,Rome,Sevilla,Seville,
Roma,Rome,Arsenal,London,
Roma,Rome,Salzburg,Salzburg,
Roma,Rome,Mönchengladbach,Mönchengladbach,
Barcelona,Barcelona,RB Leipzig,Leipzig,
Barcelona,Barcelona,Feyenoord,Rotterdam,
Barcelona,Barcelona,Crvena zvezda,Belgrade,
Barcelona,Barcelona,Lugano,Lugano,
Sevilla,Seville,Manchester United,Manchester,
Sevilla,Seville,Eintracht Frankfurt,Frankfurt,
Sevilla,Seville,Lyon,Lyon,
Sevilla,Seville,Čukarički,Belgrade,
Atlético de Madrid,Madrid,Paris Saint-Germain,Paris,
Atlético de Madrid,Madrid,West Ham,London,
Atlético de Madrid,Madrid,AC Milan,Milan,
Atlético de Madrid,Madrid,Celtic,Glasgow,
Juventus,Turin,Real Madrid,Madrid,
Juventus,Turin,Arsenal,London,
Juventus,Turin,Tottenham Hotspur,London,
Juventus,Turin,Dynamo Kyiv,Bucharest,
Villarreal,Villarreal,Liverpool,Liverpool,
Villarreal,Villarreal,Juventus,Turin,
Villarreal,Villarreal,Salzburg,Salzburg,
Villarreal,Villarreal,Ferencváros,Budapest,
Bayer 04 Leverkusen,Leverkusen,Inter,Milan,
Bayer 04 Leverkusen,Leverkusen,Atlético de Madrid,Madrid,
Bayer 04 Leverkusen,Leverkusen,Braga,Braga,
Bayer 04 Leverkusen,Leverkusen,Monaco,Monaco,
FC Porto,Porto,Manchester United,Manchester,
FC Porto,Porto,Villarreal,Villarreal,
FC Porto,Porto,PSV,Eindhoven,
FC Porto,Porto,Galatasaray,Istanbul,
Arsenal,London,RB Leipzig,Leipzig,
Arsenal,London,Bayer 04 Leverkusen,Leverkusen,
Arsenal,London,Club Brugge,Bruges,
Arsenal,London,Nice,Nice,
West Ham,London,Roma,Rome,
West Ham,London,Feyenoord,Rotterdam,
West Ham,London,AZ Alkmaar,Alkmaar,
West Ham,London,Mönchengladbach,Mönchengladbach,
Eintracht Frankfurt,Frankfurt,Barcelona,Barcelona,
Eintracht Frankfurt,Frankfurt,FC Porto,Porto,
Eintracht Frankfurt,Frankfurt,Crvena zvezda,Belgrade,
Eintracht Frankfurt,Frankfurt,Lugano,Lugano,
Feyenoord,Rotterdam,Sevilla,Seville,
Feyenoord,Rotterdam,Eintracht Frankfurt,Frankfurt,
Feyenoord,Rotterdam,Lyon,Lyon,
Feyenoord,Rotterdam,Čukarički,Belgrade,
Club Brugge,Bruges,Real Madrid,Madrid,
Club Brugge,Bruges,Juventus,Turin,
Club Brugge,Bruges,Tottenham Hotspur,London,
Club Brugge,Bruges,Celtic,Glasgow,
Tottenham Hotspur,London,Paris Saint-Germain,Paris,
Tottenham Hotspur,London,Villarreal,Villarreal,
Tottenham Hotspur,London,AZ Alkmaar,Alkmaar,
Tottenham Hotspur,London,Ferencváros,Budapest,
AC Milan,Milan,Liverpool,Liverpool,
AC Milan,Milan,Bayer 04 Leverkusen,Leverkusen,
AC Milan,Milan,Club Brugge,Bruges,
AC Milan,Milan,Dynamo Kyiv,Bucharest,
PSV,Eindhoven,Inter,Milan,
PSV,Eindhoven,Atlético de Madrid,Madrid,
PSV,Eindhoven,AC Milan,Milan,
PSV,Eindhoven,Galatasaray,Istanbul,
Salzburg,Salzburg,RB Leipzig,Leipzig,
Salzburg,Salzburg,FC Porto,Porto,
Salzburg,Salzburg,PSV,Eindhoven,
Salzburg,Salzburg,Mönchengladbach,Mönchengladbach,
AZ Alkmaar,Alkmaar,Manchester United,Manchester,
AZ Alkmaar,Alkmaar,Arsenal,London,
AZ Alkmaar,Alkmaar,Salzburg,Salzburg,
AZ Alkmaar,Alkmaar,Monaco,Monaco,
Braga,Braga,Roma,Rome,
Braga,Braga,West Ham,London,
Braga,Braga,Crvena zvezda,Belgrade,
Braga,Braga,Čukarički,Belgrade,
Lyon,Lyon,Barcelona,Barcelona,
Lyon,Lyon,Eintracht Frankfurt,Frankfurt,
Lyon,Lyon,Braga,Braga,
Lyon,Lyon,Lugano,Lugano,
Crvena zvezda,Belgrade,Sevilla,Seville,
Crvena zvezda,Belgrade,Feyenoord,Rotterdam,
Crvena zvezda,Belgrade,Lyon,Lyon,
Crvena zvezda,Belgrade,Nice,Nice,
Ferencváros,Budapest,Real Madrid,Madrid,
Ferencváros,Budapest,Atlético de Madrid,Madrid,
Ferencváros,Budapest,Club Brugge,Bruges,
Ferencváros,Budapest,Galatasaray,Istanbul,
Celtic,Glasgow,Paris Saint-Germain,Paris,
Celtic,Glasgow,Juventus,Turin,
Celtic,Glasgow,Tottenham Hotspur,London,
Celtic,Glasgow,Ferencváros,Budapest,
Galatasaray,Istanbul,Liverpool,Liverpool,
Galatasaray,Istanbul,Villarreal,Villarreal,
Galatasaray,Istanbul,AC Milan,Milan,
Galatasaray,Istanbul,Celtic,Glasgow,
Dynamo Kyiv,Bucharest,Inter,Milan,
Dynamo Kyiv,Bucharest,Bayer 04 Leverkusen,Leverkusen,
Dynamo Kyiv,Bucharest,PSV,Eindhoven,
