home_team,home_team_city,away_team,away_team_city,double_legged_status,distance
Real Madrid,Madrid,Paris Saint-Germain,Paris,,1052.8964576215005
Real Madrid,Madrid,FC Porto,Porto,,422.7091944007099
Real Madrid,Madrid,AC Milan,Milan,,1188.2244887842833
Real Madrid,Madrid,Galatasaray,Istanbul,,2739.2039903751283
Paris Saint-Germain,Paris,Liverpool,Liverpool,,628.2784715751294
Paris Saint-Germain,Paris,Juventus,Turin,,583.7915854365023
Paris Saint-Germain,Paris,Club Brugge,Bruges,,268.9213299945434
Paris Saint-Germain,Paris,Ferencváros,Budapest,,1244.0129337306216
Liverpool,Liverpool,Real Madrid,Madrid,,1445.5929108617224
Liverpool,Liverpool,Atlético de Madrid,Madrid,,1445.5929108617224
Liverpool,Liverpool,PSV,Eindhoven,,613.5324471774521
Liverpool,Liverpool,Celtic,Glasgow,,284.85230401997495
Inter,Milan,Barcelona,Barcelona,,725.3518303439721
Inter,Milan,Villarreal,Villarreal,,975.6840884810546
Inter,Milan,Tottenham Hotspur,London,,959.0693485624652
Inter,Milan,Monaco,Monaco,,237.39112813554712
RB Leipzig,Leipzig,Inter,Milan,,694.1253698271622
RB Leipzig,Leipzig,West Ham,London,,865.2260211268671
RB Leipzig,Leipzig,AZ Alkmaar,Alkmaar,,540.9371322562799
RB Leipzig,Leipzig,Dynamo Kyiv,Bucharest,,1276.8701504810608
Manchester United,Manchester,Roma,Rome,,1689.0033630997116
Manchester United,Manchester,Bayer 04 Leverkusen,Leverkusen,,685.8416033577874
Manchester United,Manchester,Braga,Braga,,1406.0832707593404
Manchester United,Manchester,Nice,Nice,,1289.7554973791969
Roma,Rome,Sevilla,Seville,,1655.9942175455253
Roma,Rome,Arsenal,London,,1433.4791714517357
Roma,Rome,Salzburg,Salzburg,,658.2661974625842
Roma,Rome,Mönchengladbach,Mönchengladbach,,1129.8198121510723
Barcelona,Barcelona,RB Leipzig,Leipzig,,1352.8964920800697
Barcelona,Barcelona,Feyenoord,Rotterdam,,1184.6898641902096
Barcelona,Barcelona,Crvena zvezda,Belgrade,,1527.9501024862345
Barcelona,Barcelona,Lugano,Lugano,,748.2749248489771
Sevilla,Seville,Manchester United,Manchester,,1812.684599391408
Sevilla,Seville,Eintracht Frankfurt,Frankfurt,,1834.0143931342566
Sevilla,Seville,Lyon,Lyon,,1292.7291003834998
Sevilla,Seville,Čukarički,Belgrade,,2350.1634698484354
Atlético de Madrid,Madrid,Paris Saint-Germain,Paris,,1052.8964576215005
Atlético de Madrid,Madrid,West Ham,London,,1263.8427464300119
Atlético de Madrid,Madrid,AC Milan,Milan,,1188.2244887842833
Atlético de Madrid,Madrid,Celtic,Glasgow,,1718.1426549773216
Juventus,Turin,Real Madrid,Madrid,,1063.0019264021023
Juventus,Turin,Arsenal,London,,918.803644710752
Juventus,Turin,Tottenham Hotspur,London,,918.803644710752
Juventus,Turin,Dynamo Kyiv,Bucharest,,1452.9176782168593
Villarreal,Villarreal,Liverpool,Liverpool,,1513.6632432359154
Villarreal,Villarreal,Juventus,Turin,,855.6289067772879
Villarreal,Villarreal,Salzburg,Salzburg,,1367.239920900598
Villarreal,Villarreal,Ferencváros,Budapest,,1746.3711273762033
Bayer 04 Leverkusen,Leverkusen,Inter,Milan,,640.9008163629312
Bayer 04 Leverkusen,Leverkusen,Atlético de Madrid,Madrid,,1442.3990678664284
Bayer 04 Leverkusen,Leverkusen,Braga,Braga,,1583.5704440367172
Bayer 04 Leverkusen,Leverkusen,Monaco,Monaco,,813.0278602994936
FC Porto,Porto,Manchester United,Manchester,,1451.1871904357902
FC Porto,Porto,Villarreal,Villarreal,,732.8450679318477
FC Porto,Porto,PSV,Eindhoven,,1569.7444443393856
FC Porto,Porto,Galatasaray,Istanbul,,3127.094077165985
Arsenal,London,RB Leipzig,Leipzig,,865.2260211268671
Arsenal,London,Bayer 04 Leverkusen,Leverkusen,,499.17056009663696
Arsenal,London,Club Brugge,Bruges,,234.47436013236484
Arsenal,London,Nice,Nice,,1027.5472273763016
West Ham,London,Roma,Rome,,1433.4791714517357
West Ham,London,Feyenoord,Rotterdam,,319.9634622294215
West Ham,London,AZ Alkmaar,Alkmaar,,355.5036270400442
West Ham,London,Mönchengladbach,Mönchengladbach,,457.00348605247854
Eintracht Frankfurt,Frankfurt,Barcelona,Barcelona,,1092.833323412655
Eintracht Frankfurt,Frankfurt,FC Porto,Porto,,1667.449158311445
Eintracht Frankfurt,Frankfurt,Crvena zvezda,Belgrade,,1062.6999183590276
Eintracht Frankfurt,Frankfurt,Lugano,Lugano,,457.13630218110916
Feyenoord,Rotterdam,Sevilla,Seville,,1811.3671709206708
Feyenoord,Rotterdam,Eintracht Frankfurt,Frankfurt,,356.3044294698428
Feyenoord,Rotterdam,Lyon,Lyon,,685.2884486643833
Feyenoord,Rotterdam,Čukarički,Belgrade,,1417.175076204113
Club Brugge,Bruges,Real Madrid,Madrid,,1313.3072753125325
Club Brugge,Bruges,Juventus,Turin,,758.3377213867628
Club Brugge,Bruges,Tottenham Hotspur,London,,234.47436013236484
