run,team_name,uefa_coefficient,qualified
1,Beşiktaş,12.0,0
1,Young Boys,34.5,0
1,Dynamo Kyiv,26.5,1
1,Slavia Praha,53.0,0
1,Rijeka,12.0,0
1,Lech Poznań,20.5,0
1,CFR Cluj,26.5,0
1,Maccabi Haifa,17.0,0
1,Bodø/Glimt,29.5,0
1,Qarabağ,31.0,0
1,Monaco,24.0,1
1,Zorya Luhansk,18.5,0
1,Celtic,32.0,1
1,Braga,49.0,1
1,AZ Alkmaar,50.0,1
1,Union SG,8.813,0
1,Galatasaray,31.5,1
1,Viktoria Plzeň,25.0,0
1,La Fiorita,4.5,0
1,Olympiacos,36.0,0
1,Ferencváros,35.0,1
1,Flora Tallinn,11.0,0
1,APOEL,14.5,0
1,Shamrock Rovers,9.5,0
1,Rapid Wien,14.0,0
1,Partizan,25.5,0
1,Lugano,8.0,1
1,Nordsjælland,7.0,0
1,IF Elfsborg,4.3,0
1,Tirana,5.5,0
1,Víkingur Reykjavík,4.0,0
1,KÍ Klaksvík,10.0,0
1,Connah's Quay,5.5,0
1,Shkupi,7.5,0
1,RFS,8.0,0
1,CSKA-Sofia,12.5,0
1,Birkirkara,2.5,0
1,Olimpija Ljubljana,10.5,0
1,Europa,5.5,0
1,Dunajská Streda,8.0,0
1,Ordabasy,4.0,0
1,Sheriff,20.0,0
1,Drita,6.5,0
1,HJK,11.5,0
1,Panevezys,4.0,0
1,Ararat-Armenia,8.0,0
1,Dinamo Minsk,4.5,0
1,Zrinjski,9.5,0
1,Swift Hesper,3.0,0
1,Linfield,10.0,0
1,Dinamo Batumi,5.5,0
1,FC Santa Coloma,5.5,0
1,Sutjeska,7.5,0
2,Partizan,25.5,0
2,Fenerbahçe,32.0,0
2,Servette,7.0,0
2,Shakhtar Donetsk,63.0,0
2,Qarabağ,31.0,0
2,Ballkani,8.5,0
2,Slovan Bratislava,30.5,0
2,Legia Warszawa,18.0,0
2,Slavia Praha,53.0,0
2,Bodø/Glimt,29.5,0
2,Dynamo Kyiv,26.5,1
2,Antwerp,23.0,0
2,Salzburg,50.0,1
2,Rangers,62.0,0
2,Lens,12.432,0
2,Ajax,66.0,0
2,Braga,49.0,1
2,Beşiktaş,12.0,0
2,CFR Cluj,26.5,0
2,Ludogorets,26.0,0
2,Ferencváros,35.0,1
2,Shkëndija,8.0,0
2,Rijeka,12.0,0
2,APOEL,14.5,0
2,Čukarički,8.0,1
2,Young Boys,34.5,0
2,Sparta Praha,21.5,0
2,AGF,6.29,0
2,AEK Athens,10.0,0
2,Maccabi Haifa,17.0,0
2,BK Häcken,6.0,0
2,The New Saints,8.5,0
2,Shamrock Rovers,9.5,0
2,Milsami,5.0,0
2,Lincoln Red Imps,9.0,0
2,Gżira,7.0,0
2,Larne,4.5,0
2,Zrinjski,9.5,0
2,RFS,8.0,0
2,Ordabasy,4.0,0
2,Maribor,9.5,0
2,HJK,11.5,0
2,Panevezys,4.0,0
2,Ararat-Armenia,8.0,0
2,Dinamo Minsk,4.5,0
2,F91 Diddeleng,8.5,0
2,KÍ Klaksvík,10.0,0
2,Dinamo Batumi,5.5,0
2,Flora Tallinn,11.0,0
2,Víkingur Reykjavík,4.0,0
2,Partizani,6.5,0
2,FC Santa Coloma,5.5,0
2,FK Budućnost Podgorica,8.0,0
2,La Fiorita,4.5,0
3,Partizan,25.5,0
3,Fenerbahçe,32.0,0
3,Young Boys,34.5,0
3,Zorya Luhansk,18.5,0
3,KÍ Klaksvík,10.0,0
3,Qarabağ,31.0,0
3,Legia Warszawa,18.0,0
3,Tre Penne,5.5,0
3,Slavia Praha,53.0,0
3,Flora Tallinn,11.0,0
3,Galatasaray,31.5,1
3,PSV,53.0,1
3,Benfica,72.0,0
3,Sparta Praha,21.5,0
3,Marseille,40.0,0
3,Club Brugge,56.0,1
3,Aberdeen,11.5,0
3,Shakhtar Donetsk,63.0,0
3,Spartak Trnava,8.0,0
3,AEK Larnaca,8.0,0
3,Maccabi Haifa,17.0,0
3,Copenhagen,51.5,0
3,Sutjeska,7.5,0
3,CFR Cluj,26.5,0
3,Rapid Wien,14.0,0
3,Servette,7.0,0
3,Bodø/Glimt,29.5,0
3,Rijeka,12.0,0
3,Panathinaikos,5.585,0
3,Malmö FF,18.5,0
3,Ararat-Armenia,8.0,0
3,The New Saints,8.5,0
3,Shamrock Rovers,9.5,0
3,Ordabasy,4.0,0
3,Larne,4.5,0
3,Hamrun Spartans FC,4.5,0
3,HJK,11.5,0
3,Inter Club d'Escaldes,6.0,0
3,Ferencváros,35.0,1
3,CSKA 1948,4.025,0
3,Maribor,9.5,0
3,Sheriff,20.0,0
3,Ballkani,8.5,0
3,RFS,8.0,0
3,Panevezys,4.0,0
3,Dinamo Minsk,4.5,0
3,Borac,5.5,0
3,Progrès,4.5,0
3,Dinamo Batumi,5.5,0
3,Víkingur Reykjavík,4.0,0
3,Partizani,6.5,0
3,Europa,5.5,0
3,Shkëndija,8.0,0
4,Partizan,25.5,0
4,Beşiktaş,12.0,0
4,Servette,7.0,0
4,Shakhtar Donetsk,63.0,0
4,AEK Athens,10.0,0
4,Copenhagen,51.5,0
4,Neftçi,10.0,0
4,Legia Warszawa,18.0,0
4,Shamrock Rovers,9.5,0
4,Ballkani,8.5,0
4,Benfica,72.0,0
4,Rangers,62.0,0
4,Bohemians Praha 1905,6.91,0
4,Genk,16.0,0
4,Monaco,24.0,1
4,PSV,53.0,1
4,Dynamo Kyiv,26.5,1
4,LASK,37.0,0
4,APOEL,14.5,0
4,Shkëndija,8.0,0
4,Ferencváros,35.0,1
4,Maccabi Haifa,17.0,0
4,Bodø/Glimt,29.5,0
4,The New Saints,8.5,0
4,Galatasaray,31.5,1
4,Lugano,8.0,1
4,Slavia Praha,53.0,0
4,Rijeka,12.0,0
4,BK Häcken,6.0,0
4,Sutjeska,7.5,0
4,KÍ Klaksvík,10.0,0
4,CSKA 1948,4.025,0
4,CFR Cluj,26.5,0
4,Linfield,10.0,0
4,Maribor,9.5,0
4,RFS,8.0,0
4,HJK,11.5,0
4,Slovan Bratislava,30.5,0
4,Ordabasy,4.0,0
4,Sheriff,20.0,0
4,Panevezys,4.0,0
4,Ararat-Armenia,8.0,0
4,Dinamo Minsk,4.5,0
4,Željezničar,2.5,0
4,F91 Diddeleng,8.5,0
4,Birkirkara,2.5,0
4,Dinamo Batumi,5.5,0
4,Flora Tallinn,11.0,0
4,Víkingur Reykjavík,4.0,0
4,Egnatia,1.475,0
4,Europa,5.5,0
4,Atlètic Club d'Escaldes,2.5,0
4,Tre Penne,5.5,0
5,Čukarički,8.0,1
5,Galatasaray,31.5,1
5,Lugano,8.0,1
5,Dynamo Kyiv,26.5,1
5,Slavia Praha,53.0,0
5,Bodø/Glimt,29.5,0
5,Malmö FF,18.5,0
5,Tirana,5.5,0
5,Qarabağ,31.0,0
5,Ferencváros,35.0,1
5,Rangers,62.0,0
5,AZ Alkmaar,50.0,1
5,FC Porto,75.0,1
5,Ajax,66.0,0
5,Genk,16.0,0
5,LASK,37.0,0
5,Shakhtar Donetsk,63.0,0
5,Luzern,6.355,0
5,Sheriff,20.0,0
5,Maccabi Haifa,17.0,0
5,Rijeka,12.0,0
5,HJK,11.5,0
5,FCSB,10.5,0
5,Dinamo Minsk,4.5,0
5,Beşiktaş,12.0,0
5,Viktoria Plzeň,25.0,0
5,Copenhagen,51.5,0
5,Olympiacos,36.0,0
5,APOEL,14.5,0
5,Lech Poznań,20.5,0
5,La Fiorita,4.5,0
5,Slovan Bratislava,30.5,0
5,Shamrock Rovers,9.5,0
5,Flora Tallinn,11.0,0
5,Inter Club d'Escaldes,6.0,0
5,Víkingur Reykjavík,4.0,0
5,The New Saints,8.5,0
5,Olimpija Ljubljana,10.5,0
5,CSKA 1948,4.025,0
5,Ordabasy,4.0,0
5,Ballkani,8.5,0
5,RFS,8.0,0
5,Panevezys,4.0,0
5,Ararat-Armenia,8.0,0
5,Borac,5.5,0
5,F91 Diddeleng,8.5,0
5,KÍ Klaksvík,10.0,0
5,Linfield,10.0,0
5,Hamrun Spartans FC,4.5,0
5,Dinamo Batumi,5.5,0
5,Europa,5.5,0
5,Shkupi,7.5,0
5,FK Budućnost Podgorica,8.0,0
