replicate,match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,distance
1,1,Atlético de Madrid,73.0,Madrid,ESP,PSV,43.0,Eindhoven,NED,1414.0
1,2,Atlético de Madrid,73.0,Madrid,ESP,Mönchengladbach,21.0,Mönchengladbach,GER,1419.0
1,3,Atlético de Madrid,73.0,Madrid,ESP,Chelsea,96.0,London,ENG,1263.0
1,4,Atlético de Madrid,73.0,Madrid,ESP,FC Porto,66.0,Porto,POR,421.0
1,5,Bayern,126.0,Munich,GER,Juventus,80.0,Turin,ITA,452.0
1,6,Bayern,126.0,Munich,GER,Antwerp,21.0,Antwerp,BEL,620.0
1,7,Bayern,126.0,Munich,GER,Shakhtar Donetsk,59.0,Hamburg,UKR,612.0
1,8,Bayern,126.0,Munich,GER,Lazio,43.0,Rome,ITA,697.0
1,9,Paris Saint-Germain,101.0,Paris,FRA,Arsenal,58.0,London,ENG,344.0
1,10,Paris Saint-Germain,101.0,Paris,FRA,Bayern,126.0,Munich,GER,684.0
1,11,Paris Saint-Germain,101.0,Paris,FRA,Brighton,18.635,Brighton,ENG,284.0
1,12,Paris Saint-Germain,101.0,Paris,FRA,Braga,48.0,Braga,POR,1171.0
1,13,Liverpool,100.0,Liverpool,ENG,Inter,90.0,Milan,ITA,1245.0
1,14,Liverpool,100.0,Liverpool,ENG,Lille,35.0,Lille,FRA,517.0
1,15,Liverpool,100.0,Liverpool,ENG,Ajax,64.0,Amsterdam,NED,543.0
1,16,Liverpool,100.0,Liverpool,ENG,Osasuna,15.922,Pamplona,ESP,1182.0
1,17,Chelsea,96.0,London,ENG,Rangers,52.0,Glasgow,SCO,555.0
1,18,Chelsea,96.0,London,ENG,Riga,11.0,Riga,LAT,1676.0
1,19,Chelsea,96.0,London,ENG,Sevilla,84.0,Seville,ESP,1636.0
1,20,Chelsea,96.0,London,ENG,Napoli,71.0,Naples,ITA,1617.0
1,21,Manchester United,91.0,Manchester,ENG,Atlético de Madrid,73.0,Madrid,ESP,1457.0
1,22,Manchester United,91.0,Manchester,ENG,Monaco,24.0,Monaco,FRA,1293.0
1,23,Manchester United,91.0,Manchester,ENG,Union Berlin,21.0,Berlin,GER,1050.0
1,24,Manchester United,91.0,Manchester,ENG,Villarreal,68.0,Villarreal,ESP,1511.0
1,25,Inter,90.0,Milan,ITA,Lugano,8.0,Lugano,SUI,63.0
1,26,Inter,90.0,Milan,ITA,Crvena zvezda,40.0,Belgrade,SRB,886.0
1,27,Inter,90.0,Milan,ITA,Manchester United,91.0,Manchester,ENG,1212.0
1,28,Inter,90.0,Milan,ITA,Barcelona,78.0,Barcelona,ESP,725.0
1,29,Sevilla,84.0,Seville,ESP,Salzburg,49.0,Salzburg,AUT,1932.0
1,30,Sevilla,84.0,Seville,ESP,Liverpool,100.0,Liverpool,ENG,1796.0
1,31,Sevilla,84.0,Seville,ESP,AEK Athens,10.0,Athens,GRE,2604.0
1,32,Sevilla,84.0,Seville,ESP,Borussia Dortmund,75.0,Dortmund,GER,1893.0
1,33,Juventus,80.0,Turin,ITA,Lyon,44.0,Lyon,FRA,236.0
1,34,Juventus,80.0,Turin,ITA,Paris Saint-Germain,101.0,Paris,FRA,584.0
1,35,Juventus,80.0,Turin,ITA,Feyenoord,57.0,Rotterdam,NED,798.0
1,36,Juventus,80.0,Turin,ITA,HJK,10.0,Helsinki,FIN,2030.0
1,37,Barcelona,78.0,Barcelona,ESP,Monaco,24.0,Monaco,FRA,502.0
1,38,Barcelona,78.0,Barcelona,ESP,Ajax,64.0,Amsterdam,NED,1238.0
1,39,Barcelona,78.0,Barcelona,ESP,Mönchengladbach,21.0,Mönchengladbach,GER,1132.0
1,40,Barcelona,78.0,Barcelona,ESP,Juventus,80.0,Turin,ITA,606.0
1,41,Borussia Dortmund,75.0,Dortmund,GER,Shakhtar Donetsk,59.0,Hamburg,UKR,284.0
1,42,Borussia Dortmund,75.0,Dortmund,GER,PSV,43.0,Eindhoven,NED,139.0
1,43,Borussia Dortmund,75.0,Dortmund,GER,Antwerp,21.0,Antwerp,BEL,215.0
1,44,Borussia Dortmund,75.0,Dortmund,GER,Inter,90.0,Milan,ITA,684.0
1,45,Napoli,71.0,Naples,ITA,Villarreal,68.0,Villarreal,ESP,1219.0
1,46,Napoli,71.0,Naples,ITA,Osasuna,15.922,Pamplona,ESP,1334.0
1,47,Napoli,71.0,Naples,ITA,Salzburg,49.0,Salzburg,AUT,780.0
1,48,Napoli,71.0,Naples,ITA,Sevilla,84.0,Seville,ESP,1785.0
1,49,Villarreal,68.0,Villarreal,ESP,Lyon,44.0,Lyon,FRA,759.0
1,50,Villarreal,68.0,Villarreal,ESP,Riga,11.0,Riga,LAT,2571.0
1,51,Villarreal,68.0,Villarreal,ESP,FC Porto,66.0,Porto,POR,731.0
1,52,Villarreal,68.0,Villarreal,ESP,Bayern,126.0,Munich,GER,1300.0
1,53,FC Porto,66.0,Porto,POR,Paris Saint-Germain,101.0,Paris,FRA,1213.0
1,54,FC Porto,66.0,Porto,POR,Brighton,18.635,Brighton,ENG,1256.0
1,55,FC Porto,66.0,Porto,POR,Arsenal,58.0,London,ENG,1321.0
1,56,FC Porto,66.0,Porto,POR,Rangers,52.0,Glasgow,SCO,1666.0
1,57,Ajax,64.0,Amsterdam,NED,Napoli,71.0,Naples,ITA,1464.0
1,58,Ajax,64.0,Amsterdam,NED,Lille,35.0,Lille,FRA,232.0
1,59,Ajax,64.0,Amsterdam,NED,Manchester United,91.0,Manchester,ENG,495.0
1,60,Ajax,64.0,Amsterdam,NED,HJK,10.0,Helsinki,FIN,1501.0
