replicate,match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,distance
1,1,Barcelona,78.0,Barcelona,ESP,Lyon,44.0,Lyon,FRA,532.0
1,2,Barcelona,78.0,Barcelona,ESP,Inter,90.0,Milan,ITA,725.0
1,3,Barcelona,78.0,Barcelona,ESP,Atalanta,58.0,Bergamo,ITA,771.0
1,4,Barcelona,78.0,Barcelona,ESP,Lens,11.266,Lens,FRA,1007.0
1,5,Manchester City,130.0,Manchester,ENG,Celtic,30.0,Glasgow,SCO,294.0
1,6,Manchester City,130.0,Manchester,ENG,Feyenoord,57.0,Rotterdam,NED,485.0
1,7,Manchester City,130.0,Manchester,ENG,Antwerp,21.0,Antwerp,BEL,516.0
1,8,Manchester City,130.0,Manchester,ENG,Paris Saint-Germain,101.0,Paris,FRA,606.0
1,9,Bayern,126.0,Munich,GER,Young Boys,32.5,Bern,SUI,337.0
1,10,Bayern,126.0,Munich,GER,Rapid Wien,14.0,Vienna,AUT,355.0
1,11,Bayern,126.0,Munich,GER,Ajax,64.0,Amsterdam,NED,668.0
1,12,Bayern,126.0,Munich,GER,Chelsea,96.0,London,ENG,919.0
1,13,Real Madrid,112.0,Madrid,ESP,Braga,48.0,Braga,POR,417.0
1,14,Real Madrid,112.0,Madrid,ESP,Benfica,69.0,Lisbon,POR,502.0
1,15,Real Madrid,112.0,Madrid,ESP,Aston Villa,18.635,Birmingham,ENG,1351.0
1,16,Real Madrid,112.0,Madrid,ESP,Liverpool,100.0,Liverpool,ENG,1446.0
1,17,Paris Saint-Germain,101.0,Paris,FRA,Bayer 04 Leverkusen,67.0,Leverkusen,GER,413.0
1,18,Paris Saint-Germain,101.0,Paris,FRA,AZ Alkmaar,48.0,Alkmaar,NED,453.0
1,19,Paris Saint-Germain,101.0,Paris,FRA,Manchester United,91.0,Manchester,ENG,606.0
1,20,Paris Saint-Germain,101.0,Paris,FRA,VfL Wolfsburg,22.5,Wolfsburg,GER,714.0
1,21,Liverpool,100.0,Liverpool,ENG,Lille,35.0,Lille,FRA,517.0
1,22,Liverpool,100.0,Liverpool,ENG,Borussia Dortmund,75.0,Dortmund,GER,739.0
1,23,Liverpool,100.0,Liverpool,ENG,Bayern,126.0,Munich,GER,1178.0
1,24,Liverpool,100.0,Liverpool,ENG,Legia Warszawa,13.0,Warsaw,POL,1611.0
1,25,Chelsea,96.0,London,ENG,Real Sociedad,42.0,San Sebastián,ESP,921.0
1,26,Chelsea,96.0,London,ENG,Barcelona,78.0,Barcelona,ESP,1139.0
1,27,Chelsea,96.0,London,ENG,APOEL,14.5,Nicosia,CYP,3218.0
1,28,Chelsea,96.0,London,ENG,Atlético de Madrid,73.0,Madrid,ESP,1263.0
1,29,Manchester United,91.0,Manchester,ENG,AC Milan,49.0,Milan,ITA,1212.0
1,30,Manchester United,91.0,Manchester,ENG,Real Madrid,112.0,Madrid,ESP,1457.0
1,31,Manchester United,91.0,Manchester,ENG,Roma,86.0,Rome,ITA,1689.0
1,32,Manchester United,91.0,Manchester,ENG,Fenerbahçe,28.0,Istanbul,TUR,2703.0
1,33,Inter,90.0,Milan,ITA,Villarreal,68.0,Villarreal,ESP,973.0
1,34,Inter,90.0,Milan,ITA,Crvena zvezda,40.0,Belgrade,SRB,886.0
1,35,Inter,90.0,Milan,ITA,Manchester City,130.0,Manchester,ENG,1212.0
1,36,Inter,90.0,Milan,ITA,Qarabağ,26.0,Baku,AZE,3326.0
1,37,Roma,86.0,Rome,ITA,Young Boys,32.5,Bern,SUI,689.0
1,38,Roma,86.0,Rome,ITA,Manchester City,130.0,Manchester,ENG,1689.0
1,39,Roma,86.0,Rome,ITA,Rapid Wien,14.0,Vienna,AUT,764.0
1,40,Roma,86.0,Rome,ITA,Villarreal,68.0,Villarreal,ESP,1079.0
1,41,Borussia Dortmund,75.0,Dortmund,GER,Ajax,64.0,Amsterdam,NED,200.0
1,42,Borussia Dortmund,75.0,Dortmund,GER,Antwerp,21.0,Antwerp,BEL,215.0
1,43,Borussia Dortmund,75.0,Dortmund,GER,AZ Alkmaar,48.0,Alkmaar,NED,223.0
1,44,Borussia Dortmund,75.0,Dortmund,GER,Paris Saint-Germain,101.0,Paris,FRA,469.0
1,45,Atlético de Madrid,73.0,Madrid,ESP,Braga,48.0,Braga,POR,417.0
1,46,Atlético de Madrid,73.0,Madrid,ESP,Benfica,69.0,Lisbon,POR,502.0
1,47,Atlético de Madrid,73.0,Madrid,ESP,Inter,90.0,Milan,ITA,1188.0
1,48,Atlético de Madrid,73.0,Madrid,ESP,Lens,11.266,Lens,FRA,1223.0
1,49,Benfica,69.0,Lisbon,POR,Legia Warszawa,13.0,Warsaw,POL,2759.0
1,50,Benfica,69.0,Lisbon,POR,Real Sociedad,42.0,San Sebastián,ESP,788.0
1,51,Benfica,69.0,Lisbon,POR,Barcelona,78.0,Barcelona,ESP,1006.0
1,52,Benfica,69.0,Lisbon,POR,Atalanta,58.0,Bergamo,ITA,1727.0
1,53,Villarreal,68.0,Villarreal,ESP,Lyon,44.0,Lyon,FRA,759.0
1,54,Villarreal,68.0,Villarreal,ESP,Chelsea,96.0,London,ENG,1283.0
1,55,Villarreal,68.0,Villarreal,ESP,Bayer 04 Leverkusen,67.0,Leverkusen,GER,1350.0
1,56,Villarreal,68.0,Villarreal,ESP,Aston Villa,18.635,Birmingham,ENG,1397.0
1,57,Bayer 04 Leverkusen,67.0,Leverkusen,GER,Feyenoord,57.0,Rotterdam,NED,199.0
1,58,Bayer 04 Leverkusen,67.0,Leverkusen,GER,Lille,35.0,Lille,FRA,281.0
1,59,Bayer 04 Leverkusen,67.0,Leverkusen,GER,Manchester United,91.0,Manchester,ENG,684.0
1,60,Bayer 04 Leverkusen,67.0,Leverkusen,GER,Fenerbahçe,28.0,Istanbul,TUR,2019.0
1,61,Ajax,64.0,Amsterdam,NED,VfL Wolfsburg,22.5,Wolfsburg,GER,399.0
1,62,Ajax,64.0,Amsterdam,NED,Liverpool,100.0,Liverpool,ENG,543.0
1,63,Ajax,64.0,Amsterdam,NED,Roma,86.0,Rome,ITA,1296.0
1,64,Ajax,64.0,Amsterdam,NED,Celtic,30.0,Glasgow,SCO,711.0
1,65,Atalanta,58.0,Bergamo,ITA,Bayern,126.0,Munich,GER,307.0
1,66,Atalanta,58.0,Bergamo,ITA,Borussia Dortmund,75.0,Dortmund,GER,666.0
1,67,Atalanta,58.0,Bergamo,ITA,Crvena zvezda,40.0,Belgrade,SRB,849.0
1,68,Atalanta,58.0,Bergamo,ITA,APOEL,14.5,Nicosia,CYP,2310.0
1,69,Feyenoord,57.0,Rotterdam,NED,AC Milan,49.0,Milan,ITA,797.0
1,70,Feyenoord,57.0,Rotterdam,NED,Real Madrid,112.0,Madrid,ESP,1424.0
1,71,Feyenoord,57.0,Rotterdam,NED,Atlético de Madrid,73.0,Madrid,ESP,1424.0
1,72,Feyenoord,57.0,Rotterdam,NED,Qarabağ,26.0,Baku,AZE,3657.0
1,73,AC Milan,49.0,Milan,ITA,Young Boys,32.5,Bern,SUI,213.0
1,74,AC Milan,49.0,Milan,ITA,Bayern,126.0,Munich,GER,348.0
1,75,AC Milan,49.0,Milan,ITA,Rapid Wien,14.0,Vienna,AUT,625.0
1,76,AC Milan,49.0,Milan,ITA,Bayer 04 Leverkusen,67.0,Leverkusen,GER,643.0
1,77,AZ Alkmaar,48.0,Alkmaar,NED,Antwerp,21.0,Antwerp,BEL,159.0
1,78,AZ Alkmaar,48.0,Alkmaar,NED,Lille,35.0,Lille,FRA,252.0
1,79,AZ Alkmaar,48.0,Alkmaar,NED,Chelsea,96.0,London,ENG,357.0
1,80,AZ Alkmaar,48.0,Alkmaar,NED,Atalanta,58.0,Bergamo,ITA,849.0
1,81,Braga,48.0,Braga,POR,Celtic,30.0,Glasgow,SCO,1621.0
1,82,Braga,48.0,Braga,POR,Villarreal,68.0,Villarreal,ESP,724.0
1,83,Braga,48.0,Braga,POR,Inter,90.0,Milan,ITA,1484.0
1,84,Braga,48.0,Braga,POR,Lens,11.266,Lens,FRA,1314.0
1,85,Lyon,44.0,Lyon,FRA,AC Milan,49.0,Milan,ITA,340.0
1,86,Lyon,44.0,Lyon,FRA,Borussia Dortmund,75.0,Dortmund,GER,668.0
1,87,Lyon,44.0,Lyon,FRA,APOEL,14.5,Nicosia,CYP,2666.0
1,88,Lyon,44.0,Lyon,FRA,Manchester United,91.0,Manchester,ENG,997.0
1,89,Real Sociedad,42.0,San Sebastián,ESP,Braga,48.0,Braga,POR,566.0
1,90,Real Sociedad,42.0,San Sebastián,ESP,Paris Saint-Germain,101.0,Paris,FRA,700.0
1,91,Real Sociedad,42.0,San Sebastián,ESP,Aston Villa,18.635,Birmingham,ENG,1020.0
1,92,Real Sociedad,42.0,San Sebastián,ESP,Feyenoord,57.0,Rotterdam,NED,1071.0
1,93,Crvena zvezda,40.0,Belgrade,SRB,Roma,86.0,Rome,ITA,718.0
1,94,Crvena zvezda,40.0,Belgrade,SRB,Fenerbahçe,28.0,Istanbul,TUR,811.0
1,95,Crvena zvezda,40.0,Belgrade,SRB,Lyon,44.0,Lyon,FRA,1225.0
1,96,Crvena zvezda,40.0,Belgrade,SRB,Barcelona,78.0,Barcelona,ESP,1528.0
1,97,Lille,35.0,Lille,FRA,Ajax,64.0,Amsterdam,NED,232.0
1,98,Lille,35.0,Lille,FRA,Manchester City,130.0,Manchester,ENG,481.0
1,99,Lille,35.0,Lille,FRA,VfL Wolfsburg,22.5,Wolfsburg,GER,570.0
1,100,Lille,35.0,Lille,FRA,Real Sociedad,42.0,San Sebastián,ESP,898.0
1,101,Young Boys,32.5,Bern,SUI,AZ Alkmaar,48.0,Alkmaar,NED,661.0
1,102,Young Boys,32.5,Bern,SUI,Benfica,69.0,Lisbon,POR,1627.0
1,103,Young Boys,32.5,Bern,SUI,Liverpool,100.0,Liverpool,ENG,1032.0
1,104,Young Boys,32.5,Bern,SUI,Legia Warszawa,13.0,Warsaw,POL,1138.0
1,105,Celtic,30.0,Glasgow,SCO,Atlético de Madrid,73.0,Madrid,ESP,1718.0
1,106,Celtic,30.0,Glasgow,SCO,Real Madrid,112.0,Madrid,ESP,1718.0
1,107,Celtic,30.0,Glasgow,SCO,Crvena zvezda,40.0,Belgrade,SRB,2124.0
1,108,Celtic,30.0,Glasgow,SCO,Qarabağ,26.0,Baku,AZE,4240.0
1,109,Fenerbahçe,28.0,Istanbul,TUR,APOEL,14.5,Nicosia,CYP,753.0
1,110,Fenerbahçe,28.0,Istanbul,TUR,Roma,86.0,Rome,ITA,1375.0
1,111,Fenerbahçe,28.0,Istanbul,TUR,Bayern,126.0,Munich,GER,1584.0
1,112,Fenerbahçe,28.0,Istanbul,TUR,Lyon,44.0,Lyon,FRA,2013.0
1,113,Qarabağ,26.0,Baku,AZE,Fenerbahçe,28.0,Istanbul,TUR,1760.0
1,114,Qarabağ,26.0,Baku,AZE,Crvena zvezda,40.0,Belgrade,SRB,2446.0
1,115,Qarabağ,26.0,Baku,AZE,Liverpool,100.0,Liverpool,ENG,4162.0
1,116,Qarabağ,26.0,Baku,AZE,Benfica,69.0,Lisbon,POR,4968.0
1,117,VfL Wolfsburg,22.5,Wolfsburg,GER,AZ Alkmaar,48.0,Alkmaar,NED,408.0
1,118,VfL Wolfsburg,22.5,Wolfsburg,GER,Feyenoord,57.0,Rotterdam,NED,434.0
1,119,VfL Wolfsburg,22.5,Wolfsburg,GER,Antwerp,21.0,Antwerp,BEL,459.0
1,120,VfL Wolfsburg,22.5,Wolfsburg,GER,Inter,90.0,Milan,ITA,782.0
1,121,Antwerp,21.0,Antwerp,BEL,Lille,35.0,Lille,FRA,115.0
1,122,Antwerp,21.0,Antwerp,BEL,Ajax,64.0,Amsterdam,NED,132.0
1,123,Antwerp,21.0,Antwerp,BEL,Lens,11.266,Lens,FRA,142.0
1,124,Antwerp,21.0,Antwerp,BEL,Paris Saint-Germain,101.0,Paris,FRA,301.0
1,125,Aston Villa,18.635,Birmingham,ENG,Celtic,30.0,Glasgow,SCO,412.0
1,126,Aston Villa,18.635,Birmingham,ENG,Bayer 04 Leverkusen,67.0,Leverkusen,GER,613.0
1,127,Aston Villa,18.635,Birmingham,ENG,VfL Wolfsburg,22.5,Wolfsburg,GER,840.0
1,128,Aston Villa,18.635,Birmingham,ENG,Barcelona,78.0,Barcelona,ESP,1267.0
1,129,APOEL,14.5,Nicosia,CYP,Borussia Dortmund,75.0,Dortmund,GER,2746.0
1,130,APOEL,14.5,Nicosia,CYP,Qarabağ,26.0,Baku,AZE,1559.0
1,131,APOEL,14.5,Nicosia,CYP,AC Milan,49.0,Milan,ITA,2335.0
1,132,APOEL,14.5,Nicosia,CYP,Real Madrid,112.0,Madrid,ESP,3285.0
1,133,Rapid Wien,14.0,Vienna,AUT,Legia Warszawa,13.0,Warsaw,POL,556.0
1,134,Rapid Wien,14.0,Vienna,AUT,Atalanta,58.0,Bergamo,ITA,580.0
1,135,Rapid Wien,14.0,Vienna,AUT,Young Boys,32.5,Bern,SUI,684.0
1,136,Rapid Wien,14.0,Vienna,AUT,Chelsea,96.0,London,ENG,1235.0
1,137,Legia Warszawa,13.0,Warsaw,POL,Aston Villa,18.635,Birmingham,ENG,1531.0
1,138,Legia Warszawa,13.0,Warsaw,POL,Manchester United,91.0,Manchester,ENG,1561.0
1,139,Legia Warszawa,13.0,Warsaw,POL,Atlético de Madrid,73.0,Madrid,ESP,2290.0
1,140,Legia Warszawa,13.0,Warsaw,POL,Braga,48.0,Braga,POR,2510.0
1,141,Lens,11.266,Lens,FRA,Manchester City,130.0,Manchester,ENG,485.0
1,142,Lens,11.266,Lens,FRA,Real Sociedad,42.0,San Sebastián,ESP,870.0
1,143,Lens,11.266,Lens,FRA,Rapid Wien,14.0,Vienna,AUT,1011.0
1,144,Lens,11.266,Lens,FRA,Villarreal,68.0,Villarreal,ESP,1185.0
2,1,Barcelona,78.0,Barcelona,ESP,Lyon,44.0,Lyon,FRA,532.0
2,2,Barcelona,78.0,Barcelona,ESP,Inter,90.0,Milan,ITA,725.0
2,3,Barcelona,78.0,Barcelona,ESP,Feyenoord,57.0,Rotterdam,NED,1185.0
2,4,Barcelona,78.0,Barcelona,ESP,Lens,11.266,Lens,FRA,1007.0
2,5,Manchester City,130.0,Manchester,ENG,Celtic,30.0,Glasgow,SCO,294.0
2,6,Manchester City,130.0,Manchester,ENG,Ajax,64.0,Amsterdam,NED,495.0
2,7,Manchester City,130.0,Manchester,ENG,Antwerp,21.0,Antwerp,BEL,516.0
2,8,Manchester City,130.0,Manchester,ENG,Paris Saint-Germain,101.0,Paris,FRA,606.0
