team_name,association,uefa_coefficient,city
CFR Cluj,ROM,26.5,Cluj-Napoca
CSKA-Sofia,BUL,12.5,Sofia
Slovan Bratislava,SVK,26.5,Bratislava
Qarabağ,AZE,26.0,Baku
Ordabasy,KAZ,4.0,Shymkent
Maribor,SVN,9.5,Maribor
Sheriff,MDA,18.0,Tiraspol
Ballkani,KOS,7.5,Prishtina
Riga,LAT,11.0,Riga
St Patrick's,IRL,4.0,Dublin
HJK,FIN,10.0,Helsinki
Panevezys,LTU,4.0,Panevėžys
Ararat-Armenia,ARM,8.0,Yerevan
Dinamo Minsk,BLR,4.5,Minsk
Zrinjski,BIH,8.5,Mostar
Swift Hesper,LUX,3.0,Hesperange
KÍ Klaksvík,FRO,10.0,Klaksvík
Linfield,NIR,10.0,Belfast
Gżira,MLT,7.0,Gżira
Dinamo Tbilisi,GEO,8.0,Tbilisi
Flora Tallinn,EST,11.0,Tallinn
Víkingur Reykjavík,ISL,4.0,Reykjavík
Partizani,ALB,6.5,Tirana
The New Saints,WAL,8.5,Oswestry
Lincoln Red Imps,GIB,9.0,Gibraltar
Shkupi,MKD,7.5,Skopje
FC Santa Coloma,AND,5.5,Santa Coloma
Sutjeska,MNE,7.5,Nikšić
Tre Penne,SMR,5.5,San Marino
