,manchester,munich,madrid,paris,liverpool,london,milan,leipzig,rome,seville,turin,barcelona,dortmund,naples,lisbon,villarreal,leverkusen,porto,amsterdam,hamburg,bergamo,glasgow,salzburg,braga,bruges,alkmaar,lyon,eindhoven,prague,san sebastián,copenhagen,belgrade,rennes,lille,marseille,piraeus,linz,bern,istanbul,budapest,cluj-napoca,bucharest,bratislava,aghdam,bodø,florence,monaco,wolfsburg,brussels,saint petersburg,mönchengladbach,berlin,antwerp,poznań,razgrad,freiburg,newcastle upon tyne,birmingham,brighton,malmö,tiraspol,beer sheva,plzeň,nice,lublin,pamplona,nicosia,moscow,vienna,haifa,warsaw,genk,sofia,rijeka,enschede,lens,tallinn,košice,klaksvík,belfast,helsinki,baku,athens,maribor,dublin,yerevan,gibraltar,dudelange,mostar,oswestry,dunajská streda,podgorica,riga,tetovo,prishtina,aberdeen,nikšić,adana,hîncești,gżira,edinburgh,gjilan,ljubljana,tirana,geneva,luzern,andorra la vella,częstochowa,farum,aarhus,bačka topola,santa coloma,connah's quay,batumi,san marino,trnava,banja luka,orhei,niederkorn,larne,minsk,montegiardino,ħamrun,celje,limassol,gothenburg,borås,constanța,kecskemét,debrecen,reykjavík,panevėžys,shymkent,struga,hesperange,sarajevo,birkirkara,rrogozhinë,bridgend,tivat,serravalle,frankfurt,rotterdam,borisov,tbilisi,larnaca,lugano,skopje,gori,derry,zhodino
manchester,0,1136,1457,606,51,262,1212,1018,1689,1812,1178,1385,692,1870,1723,1511,684,1451,495,808,1216,294,1245,1405,449,477,997,569,1205,1130,983,1901,598,481,1263,2624,1290,1000,2703,1638,1975,2281,1477,3890,1773,1462,1293,879,536,2088,627,1050,516,1284,2368,934,174,118,328,1014,2373,3848,1131,1290,1694,1187,3431,4697,1427,3728,1561,598,2227,1504,629,485,1771,1715,1005,271,1797,4112,2625,1486,267,3769,1943,725,1850,88,1519,2003,1704,2138,2099,408,1960,3407,2297,2347,282,2132,1453,2125,1007,1034,1252,1482,973,850,1770,1248,61,3487,1507,1495,1705,2282,725,278,1948,1507,2350,1485,3449,1007,1061,2461,1715,1802,1622,1745,5259,2187,727,1845,2347,2140,237,1973,1506,838,485,2003,3683,3469,1154,2166,3620,370,1994
munich,1136,0,1485,684,1178,919,348,361,697,1859,452,1055,478,837,1964,1300,463,1769,668,612,307,1378,115,1734,691,695,576,572,300,1179,841,774,983,676,722,1494,201,337,1584,561,916,1187,410,2898,2135,486,585,480,603,1782,515,504,620,607,1263,278,1187,1053,899,837,1370,2712,209,594,862,1187,2300,3727,355,2594,810,539,1096,381,564,684,1520,717,1932,1407,1589,3135,1496,353,1378,2747,1923,431,719,1158,449,870,1291,1003,963,1358,827,2290,1284,1381,1328,997,320,997,464,273,1004,620,855,898,655,1002,1173,2466,471,445,569,1290,431,1411,1285,471,1384,349,2315,1065,1070,1382,624,752,2674,1233,4480,1055,426,710,1381,1014,1148,843,467,305,659,1354,2687,2338,310,1030,2624,1506,1339
madrid,1457,1485,0,1053,1446,1263,1188,1733,1364,390,1063,505,1502,1515,502,310,1443,421,1481,1786,1233,1718,1565,417,1313,1502,913,1414,1773,353,2073,2027,871,1251,816,2367,1671,1152,2739,1974,2297,2473,1858,4220,3186,1287,988,1730,1317,3191,1419,1869,1354,2054,2509,1246,1630,1351,1189,2089,2763,3585,1668,976,2346,317,3285,5048,1810,3526,2290,1372,2253,1572,1541,1223,2893,2169,2433,1585,2948,4466,2370,1698,1451,4037,497,1270,1805,1384,1888,1922,2713,2064,2077,1864,1896,3380,2675,1664,1728,2103,1598,1974,1023,1212,493,2105,2075,2022,1982,495,1424,3770,1386,1900,1772,2697,1269,1612,2765,1385,1666,1660,3274,2224,2261,2675,2006,2164,2886,2682,5921,2047,1278,1857,1662,1968,1233,1876,1389,1446,1424,2834,4014,3318,1197,2103,3952,1643,2820
paris,606,684,1053,0,629,344,640,767,1105,1442,584,831,469,1291,1453,1007,413,1213,430,745,653,898,798,1171,269,453,391,363,883,700,1027,1445,308,204,660,2094,879,435,2256,1244,1599,1870,1088,3578,2158,886,689,714,264,2165,376,877,301,1097,1943,416,736,491,284,1046,2046,3343,781,685,1463,740,2950,4405,1033,3237,1367,326,1757,994,493,178,1859,1382,1586,855,1909,3813,2096,1026,781,3430,1547,282,1337,585,1129,1490,1703,1634,1608,968,1449,2959,1961,1747,873,1641,964,1601,410,487,709,1219,1028,969,1336,705,615,3149,947,1119,1215,1963,281,870,1826,946,1749,1011,2960,1171,1208,2066,1308,1432,2227,1694,5110,1668,289,1349,1746,1611,515,1454,947,478,373,1892,3367,2987,589,1667,3304,950,1879
liverpool,51,1178,1446,629,0,287,1245,1067,1720,1796,1206,1392,739,1902,1699,1510,729,1426,543,859,1249,284,1288,1380,489,526,1019,614,1253,1124,1033,1945,596,517,1281,2663,1335,1032,2748,1685,2022,2328,1524,3940,1801,1494,1317,930,577,2135,672,1101,559,1335,2414,971,199,138,346,1065,2423,3890,1178,1314,1745,1182,3475,4747,1473,3772,1611,641,2271,1544,678,519,1817,1764,1003,233,1842,4162,2665,1529,216,3819,1929,763,1890,61,1565,2043,1753,2180,2141,420,2000,3453,2346,2374,283,2175,1494,2165,1034,1069,1258,1532,1022,899,1815,1254,21,3536,1542,1542,1747,2332,763,244,1999,1542,2377,1528,3492,1053,1108,2508,1761,1850,1599,1795,5309,2227,765,1887,2374,2179,215,2013,1541,882,531,2054,3733,3513,1187,2208,3670,331,2044
london,262,919,1263,344,287,0,959,867,1434,1636,919,1139,525,1617,1585,1283,498,1321,358,721,966,555,1032,1276,235,357,735,388,1034,921,956,1692,393,243,1002,2390,1089,747,2501,1449,1796,2091,1288,3746,1926,1209,1031,754,321,2100,440,932,316,1168,2173,693,401,149,76,983,2217,3625,948,1028,1570,974,3218,4563,1235,3511,1449,398,2015,1273,489,239,1784,1550,1254,518,1821,3974,2392,1272,463,3614,1758,492,1620,250,1330,1773,1676,1913,1878,640,1731,3207,2137,2087,534,1911,1228,1892,747,787,1009,1341,950,852,1568,1005,275,3331,1259,1311,1482,2128,492,531,1872,1259,2090,1266,3232,1038,1086,2279,1522,1625,1884,1697,5187,1956,495,1621,2086,1905,239,1741,1258,638,321,1932,3537,3256,903,1942,3474,615,1921
milan,1212,348,1188,640,1245,959,0,695,477,1547,126,725,684,658,1683,973,643,1514,829,901,46,1489,393,1484,776,860,340,719,645,918,1160,886,877,733,388,1460,499,213,1673,787,1119,1334,672,3084,2445,249,238,782,698,2130,673,842,731,954,1388,300,1307,1108,914,1161,1587,2715,557,247,1177,913,2335,3915,625,2616,1144,669,1168,410,770,727,1868,982,2119,1477,1937,3326,1462,513,1416,2915,1600,508,724,1209,700,872,1639,1020,1005,1513,834,2366,1498,1152,1451,1037,418,973,250,189,696,945,1172,1192,812,694,1234,2639,309,715,632,1517,507,1488,1613,308,1155,478,2341,1375,1387,1537,824,978,2819,1577,4737,1043,509,751,1152,981,1154,832,309,518,797,1683,2874,2371,63,1055,2810,1575,1668
leipzig,1018,361,1733,767,1067,867,695,0,1050,2119,779,1354,342,1175,2184,1590,377,1962,526,294,658,1203,396,1922,637,541,832,480,202,1399,482,942,1071,657,1038,1730,364,606,1711,643,961,1276,491,2881,1776,846,924,163,564,1469,432,148,555,331,1369,495,1016,967,878,477,1356,2890,183,931,708,1420,2456,3697,451,2758,601,481,1267,686,390,678,1188,697,1661,1275,1253,3108,1731,583,1282,2754,2199,490,978,1066,530,1116,983,1226,1171,1137,1074,2408,1279,1725,1144,1203,608,1250,732,562,1280,474,497,555,799,1278,1069,2471,823,498,813,1266,491,1272,1061,823,1728,606,2480,708,710,1448,725,790,2431,950,4349,1296,481,946,1725,1272,1105,1100,819,295,549,1127,2673,2494,645,1245,2609,1370,1114
rome,1689,697,1364,1105,1720,1434,477,1050,0,1656,524,859,1135,188,1863,1079,1101,1755,1296,1308,480,1966,658,1734,1252,1326,749,1187,921,1193,1532,718,1308,1209,603,1049,726,689,1375,808,1035,1137,783,2865,2824,231,462,1177,1173,2346,1138,1183,1205,1214,1159,770,1783,1583,1385,1525,1474,2305,873,472,1291,1165,1958,3689,764,2222,1315,1140,894,412,1222,1204,2125,1020,2587,1952,2201,3111,1051,575,1886,2676,1666,982,463,1683,787,561,1866,701,718,1987,539,2027,1388,689,1928,742,489,612,697,662,906,1112,1546,1594,729,906,1709,2414,227,822,496,1425,981,1964,1737,227,692,530,1955,1758,1759,1334,797,954,3295,1775,4618,685,982,529,689,608,1619,515,231,959,1268,1804,2661,1993,537,739,2600,2049,1788
seville,1812,1859,390,1442,1796,1636,1547,2119,1656,0,1424,830,1893,1785,313,586,1833,475,1869,2176,1593,2058,1932,508,1699,1889,1293,1803,2151,741,2463,2350,1243,1637,1163,2602,2040,1531,3019,2326,2636,2788,2219,4521,3562,1615,1331,2120,1705,3580,1809,2257,1742,2438,2814,1629,1987,1713,1563,2479,3099,3776,2048,1319,2718,707,3511,5342,2173,3733,2668,1762,2550,1912,1931,1610,3283,2527,2762,1913,3339,4767,2604,2048,1775,4329,150,1660,2113,1735,2247,2216,3101,2352,2374,2216,2195,3629,3010,1830,2075,2397,1946,2252,1401,1589,856,2479,2465,2411,2319,858,1775,4069,1713,2262,2100,3037,1659,1942,3143,1712,1831,2008,3495,2613,2650,2987,2352,2512,3154,3067,6258,2324,1668,2171,1828,2243,1581,2171,1717,1834,1811,3212,4317,3542,1563,2391,4256,1960,3197
