team_name,association,city,uefa_coefficient,total_distance,mean_distance,median_distance
Salzburg,AUT,Salzburg,49.0,164636,1076,891.0
LASK,AUT,Linz,34.0,165024,1079,879.0
Bayern,GER,Munich,126.0,165200,1080,916.0
Viktoria Plzeň,CZE,Plzeň,17.0,166602,1089,941.0
Rapid Wien,AUT,Vienna,14.0,167820,1097,929.0
Maribor,SVN,Maribor,9.5,168043,1098,1004.0
Celje,SVN,Celje,4.5,168364,1100,1011.0
Olimpija Ljubljana,SVN,Ljubljana,6.5,168296,1100,985.0
Slavia Praha,CZE,Prague,42.0,168475,1101,933.0
Sparta Praha,CZE,Prague,15.5,168475,1101,933.0
Bohemians Praha 1905,CZE,Prague,5.66,168475,1101,933.0
Slovan Bratislava,SVK,Bratislava,26.5,169408,1107,961.0
Dunajská Streda,SVK,Dunajská Streda,8.0,170715,1116,949.0
Spartak Trnava,SVK,Trnava,5.5,170858,1117,938.0
Rijeka,CRO,Rijeka,12.0,171166,1119,1030.0
Eintracht Frankfurt,GER,Frankfurt,57.0,171404,1120,933.0
SC Freiburg,GER,Freiburg,19.0,172422,1127,938.0
RB Leipzig,GER,Leipzig,87.0,172361,1127,983.0
Luzern,SUI,Luzern,6.155,172730,1129,993.0
Atalanta,ITA,Bergamo,58.0,173813,1136,960.0
Lugano,SUI,Lugano,8.0,174322,1139,979.0
Ferencváros,HUN,Budapest,30.0,175517,1147,1007.0
Young Boys,SUI,Bern,32.5,175817,1149,1017.0
Inter,ITA,Milan,90.0,176101,1151,973.0
AC Milan,ITA,Milan,49.0,176101,1151,973.0
Swift Hesper,LUX,Hesperange,3.0,177559,1161,973.0
Borac,BIH,Banja Luka,5.5,177560,1161,1039.0
Progrès,LUX,Niederkorn,4.5,177900,1163,979.0
F91 Diddeleng,LUX,Dudelange,8.5,177887,1163,979.0
Bayer 04 Leverkusen,GER,Leverkusen,67.0,178110,1164,955.0
VfL Wolfsburg,GER,Wolfsburg,22.5,178771,1168,988.0
Kecskemét,HUN,Kecskemét,4.125,178628,1168,1046.0
Borussia Dortmund,GER,Dortmund,75.0,178786,1169,951.0
SS Cosmos,SMR,Serravalle,1.0,178990,1170,1007.0
Tre Penne,SMR,San Marino,5.5,179279,1172,1009.0
La Fiorita,SMR,Montegiardino,4.5,179308,1172,1008.0
Union Berlin,GER,Berlin,21.0,179427,1173,1023.0
TSC Bačka Topola,SRB,Bačka Topola,5.555,180403,1179,1094.0
Mönchengladbach,GER,Mönchengladbach,21.0,181028,1183,935.0
Fiorentina,ITA,Florence,24.0,182102,1190,994.0
Raków Częstochowa,POL,Częstochowa,6.0,182335,1192,995.0
Genk,BEL,Genk,13.0,182698,1194,960.0
Juventus,ITA,Turin,80.0,182917,1196,1063.0
Torino,ITA,Turin,15.171,182917,1196,1063.0
Servette,SUI,Geneva,6.155,183702,1201,1039.0
Lech Poznań,POL,Poznań,20.5,184127,1203,1047.0
Twente,NED,Enschede,11.42,183989,1203,1006.0
PSV,NED,Eindhoven,43.0,184592,1206,983.0
Dnipro-1,UKR,Košice,10.5,185615,1213,1106.0
Željezničar,BIH,Sarajevo,2.5,185587,1213,1171.0
Debrecen,HUN,Debrecen,4.125,186956,1222,1128.0
Union SG,BEL,Brussels,22.0,187395,1225,980.0
Zrinjski,BIH,Mostar,8.5,187390,1225,1182.0
Shakhtar Donetsk,UKR,Hamburg,59.0,187391,1225,1058.0
Čukarički,SRB,Belgrade,5.555,188131,1230,1204.0
Partizan,SRB,Belgrade,25.5,188131,1230,1204.0
Crvena zvezda,SRB,Belgrade,40.0,188131,1230,1204.0
Antwerp,BEL,Antwerp,21.0,188244,1230,1008.0
Feyenoord,NED,Rotterdam,57.0,190851,1247,1067.0
Ajax,NED,Amsterdam,64.0,191455,1251,1090.0
Lyon,FRA,Lyon,44.0,192074,1255,1144.0
Monaco,FRA,Monaco,24.0,192668,1259,1059.0
Nice,FRA,Nice,17.0,193436,1264,1064.0
Lille,FRA,Lille,35.0,193572,1265,1030.0
